Quarter,Time,Tm,Detail,KAN,NOR
1.0,6:18,Chiefs,Tyreek Hill 5 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
2.0,14:58,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),14,0
,10:21,Saints,Taysom Hill 1 yard rush (Wil Lutz kick),14,7
,0:03,Saints,"Safety, D.Robinson fumbled out of bounds in end zone",14,9
3.0,13:16,Saints,Latavius Murray 24 yard pass from Drew Brees (pass failed),14,15
,8:23,Chiefs,Mecole Hardman 5 yard pass from Patrick Mahomes (Harrison Butker kick),21,15
4.0,13:44,Chiefs,Le'Veon Bell 12 yard rush (Travis Kelce pass from Patrick Mahomes),29,15
,9:43,Saints,Alvin Kamara 14 yard pass from Drew Brees (Wil Lutz kick),29,22
,4:18,Chiefs,Harrison Butker 22 yard field goal,32,22
,2:06,Saints,Lil'Jordan Humphrey 17 yard pass from Drew Brees (Wil Lutz kick),32,29
