Unnamed: 0,KAN,NOR
First Downs,34,15
Rush-Yds-TDs,41-179-1,17-60-1
Cmp-Att-Yd-TD-INT,26-47-254-3-0,15-34-234-3-1
Sacked-Yards,4-22,1-9
Net Pass Yards,232,225
Total Yards,411,285
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,5-54,10-93
Third Down Conv.,9-18,1-11
Fourth Down Conv.,0-0,1-1
Time of Possession,41:14,18:46
