Unnamed: 0,BAL,PHI
First Downs,17,26
Rush-Yds-TDs,21-111-1,41-129-2
Cmp-Att-Yd-TD-INT,22-42-232-1-1,23-32-371-1-2
Sacked-Yards,2-18,2-14
Net Pass Yards,214,357
Total Yards,325,486
Fumbles-Lost,1-1,2-2
Turnovers,2,4
Penalties-Yards,6-45,7-58
Third Down Conv.,4-14,7-15
Fourth Down Conv.,0-2,1-1
Time of Possession,25:39,34:21
