Quarter,Time,Tm,Detail,BAL,PHI
1.0,5:40,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),0,7
,2:08,Ravens,Vonta Leach 5 yard rush (Justin Tucker kick),7,7
2.0,8:32,Ravens,Jacoby Jones 21 yard pass from Joe Flacco (Justin Tucker kick),14,7
,0:01,Ravens,Justin Tucker 56 yard field goal,17,7
3.0,10:40,Eagles,Jeremy Maclin 23 yard pass from Michael Vick (Alex Henery kick),17,14
,5:30,Eagles,Alex Henery 23 yard field goal,17,17
4.0,11:28,Ravens,Justin Tucker 51 yard field goal,20,17
,4:43,Ravens,Justin Tucker 48 yard field goal,23,17
,1:55,Eagles,Michael Vick 1 yard rush (Alex Henery kick),23,24
