Quarter,Time,Down,ToGo,Location,BAL,PHI,Detail,EPB,EPA
2,12:42,4,4,BAL 43,7,7,Sean Considine up the middle for 3 yards (tackle by Stanley Havili),-0.520,-2.590
2,12:35,1,10,BAL 45,7,7,"Michael Vick right end for 6 yards (tackle by Courtney Upshaw). Penalty on Cary Williams: Personal Foul (Offsetting), Penalty on DeSean Jackson: Personal Foul (Offsetting)",2.590,2.850
2,12:08,2,4,BAL 39,7,7,Michael Vick pass incomplete short middle intended for Brent Celek (defended by Ray Lewis),2.850,2.150
2,12:06,3,4,BAL 39,7,7,Michael Vick pass complete short left to DeSean Jackson for 10 yards (tackle by Cary Williams),2.150,3.640
2,11:40,1,10,BAL 29,7,7,"Penalty on Evan Mathis: False Start, 5 yards (no play)",3.640,3.310
2,11:23,1,15,BAL 34,7,7,LeSean McCoy right end for 7 yards (tackle by Lardarius Webb),3.310,3.370
2,10:48,2,8,BAL 27,7,7,LeSean McCoy left end for 7 yards (tackle by James Ihedigbo),3.370,3.600
2,10:09,3,1,BAL 20,7,7,"Michael Vick for no gain. Michael Vick fumbles, recovered by Albert McClellan at BAL-30 (tackle by Clay Harbor)",3.600,-0.940
2,10:01,1,10,BAL 30,7,7,Ray Rice up the middle for 43 yards (tackle by Mychal Kendricks),0.940,3.780
2,9:21,1,10,PHI 27,7,7,Joe Flacco pass incomplete deep left intended for Dennis Pitta,3.780,3.230
2,9:15,2,10,PHI 27,7,7,Joe Flacco pass complete short left to Tandon Doss for 6 yards (tackle by Nnamdi Asomugha),3.230,0.000
2,8:38,,,,7,7,Timeout #1 by Baltimore Ravens,0.000,3.340
2,8:38,3,4,PHI 21,13,7,"Joe Flacco pass complete deep right to Jacoby Jones for 21 yards, touchdown",3.340,7.000
2,8:38,,,PHI 2,14,7,Justin Tucker kicks extra point good,0.000,0.000
2,8:32,,,BAL 35,14,7,"Justin Tucker kicks off 70 yards, returned by Brandon Boykin for 21 yards (tackle by Brendon Ayanbadejo)",0.000,-0.140
2,8:27,1,10,PHI 16,14,7,Michael Vick for 5 yards,-0.140,0.150
2,8:04,2,5,PHI 21,14,7,LeSean McCoy up the middle for 4 yards (tackle by Ma'ake Kemoeatu),0.150,-0.200
2,7:18,3,1,PHI 25,14,7,Michael Vick pass incomplete short right intended for LeSean McCoy,-0.200,-1.700
2,7:16,4,1,PHI 25,14,7,Chas Henry punts 32 yards,-1.700,-1.800
2,7:03,1,10,BAL 43,14,7,Bernard Pierce right tackle for 6 yards (tackle by Akeem Jordan),1.800,2.060
2,6:24,2,4,BAL 49,14,7,Ray Rice left tackle for 2 yards (tackle by Fletcher Cox),2.060,1.620
2,5:39,3,2,PHI 49,14,7,Joe Flacco pass complete short left to Ray Rice for -5 yards (tackle by Mychal Kendricks),1.620,-0.320
2,4:59,4,7,BAL 46,14,7,"Sam Koch punts 54 yards, touchback",-0.320,-0.280
2,4:48,1,10,PHI 20,14,7,LeSean McCoy right end for 5 yards (tackle by Courtney Upshaw),0.280,0.410
2,4:16,2,5,PHI 25,14,7,LeSean McCoy right end for 20 yards (tackle by Ed Reed),0.410,1.930
2,4:02,1,10,PHI 45,14,7,Michael Vick pass complete short left to DeSean Jackson for 18 yards (tackle by Jameel McClain),1.930,3.120
2,3:19,1,10,BAL 37,14,7,Michael Vick pass complete deep right to Brent Celek for 28 yards (tackle by Ed Reed),3.120,5.140
2,2:36,1,9,BAL 9,14,7,"LeSean McCoy up the middle for no gain (tackle by Lardarius Webb). LeSean McCoy fumbles (forced by Lardarius Webb), recovered by Ray Lewis at BAL-9 (tackle by King Dunlap)",5.140,0.380
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,2:31,1,10,BAL 9,14,7,Joe Flacco pass complete short right to Torrey Smith for 11 yards (tackle by Dominique Rodgers-Cromartie),-0.380,0.280
2,2:11,1,10,BAL 20,14,7,Ray Rice up the middle for 16 yards (tackle by Kurt Coleman and Nate Allen),0.280,1.330
2,2:00,1,10,BAL 36,14,7,Joe Flacco pass incomplete short left intended for Dennis Pitta,1.330,0.790
2,1:57,2,10,BAL 36,14,7,Joe Flacco pass complete short middle to Ray Rice for 3 yards (tackle by DeMeco Ryans),0.790,0.500
2,1:22,3,7,BAL 39,14,7,Joe Flacco pass complete short left to Dennis Pitta for 2 yards (tackle by DeMeco Ryans),0.500,0.000
2,1:16,,,,14,7,Timeout #2 by Philadelphia Eagles,0.000,-0.650
2,1:15,4,5,BAL 41,14,7,"Sam Koch punts 56 yards, returned by Damaris Johnson for 3 yards (tackle by Brendon Ayanbadejo)",-0.650,0.380
2,1:05,1,10,PHI 6,14,7,LeSean McCoy left end for 3 yards (tackle by Jameel McClain),-0.380,-0.560
2,0:31,2,7,PHI 9,14,7,LeSean McCoy right end for 3 yards (tackle by Pernell McPhee),-0.560,0.000
2,0:25,,,,14,7,Timeout #2 by Baltimore Ravens,0.000,-0.720
2,0:25,3,4,PHI 12,14,7,LeSean McCoy up the middle for -2 yards (tackle by Sergio Kindle),-0.720,0.000
2,0:18,,,,14,7,Timeout #3 by Baltimore Ravens,0.000,-2.490
2,0:18,4,6,PHI 10,14,7,Chas Henry punts 38 yards,-2.490,-3.050
2,0:09,1,10,PHI 38,14,7,Joe Flacco pass complete short left to Anquan Boldin for no gain,3.050,2.510
2,0:04,2,10,PHI 38,17,7,Justin Tucker 56 yard field goal good,2.510,3.000
2,0:01,,,BAL 35,17,7,"Justin Tucker kicks off 16 yards, returned by Akeem Jordan for 1 yard (tackle by Anthony Allen)",0.000,1.270
Quarter,Time,Down,ToGo,Location,BAL,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,17,7,"Alex Henery kicks off 65 yards, returned by Deonte Thompson for 23 yards (tackle by Brandon Boykin)",0.000,0.480
3,14:54,1,10,BAL 23,17,7,Joe Flacco pass incomplete short right intended for Ray Rice (defended by Fletcher Cox),0.480,-0.070
3,14:48,2,10,BAL 23,17,7,Joe Flacco pass complete short right to Dennis Pitta for 16 yards (tackle by Nate Allen),-0.070,1.530
3,14:23,1,10,BAL 39,17,7,Joe Flacco pass incomplete short middle intended for Dennis Pitta (defended by Mychal Kendricks),1.530,0.990
3,14:18,2,10,BAL 39,17,7,Joe Flacco pass complete short left to Dennis Pitta for 8 yards,0.990,1.360
3,13:40,3,2,BAL 47,17,7,"Joe Flacco pass incomplete short left intended for Dennis Pitta is intercepted by DeMeco Ryans at PHI-43. Penalty on Ray Rice: Unnecessary Roughness, 15 yards",1.360,-2.790
3,13:28,1,10,BAL 42,17,7,LeSean McCoy up the middle for no gain (tackle by Pernell McPhee),2.790,2.240
3,12:56,2,10,BAL 42,17,7,Michael Vick pass complete short middle to Stanley Havili for 4 yards (tackle by Albert McClellan),2.240,2.080
3,12:19,3,6,BAL 38,17,7,Michael Vick pass complete short left to DeSean Jackson for 8 yards (tackle by Cary Williams),2.080,3.580
3,11:47,1,10,BAL 30,17,7,LeSean McCoy right end for 9 yards (tackle by Ray Lewis),3.580,4.250
3,11:19,2,1,BAL 21,17,7,LeSean McCoy left tackle for -2 yards (tackle by James Ihedigbo),4.250,3.270
3,10:46,3,3,BAL 23,17,13,"Michael Vick pass complete deep left to Jeremy Maclin for 23 yards, touchdown",3.270,7.000
3,10:46,,,BAL 2,17,14,Alex Henery kicks extra point good,0.000,0.000
3,10:40,,,PHI 35,17,14,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
3,10:40,1,10,BAL 20,17,14,Joe Flacco pass incomplete deep left intended for Ed Dickson,0.280,-0.270
3,10:32,2,10,BAL 20,17,14,Joe Flacco pass incomplete deep right intended for Torrey Smith,-0.270,-0.960
3,10:27,3,10,BAL 20,17,14,Joe Flacco pass incomplete short left intended for Torrey Smith,-0.960,-2.030
3,10:23,4,10,BAL 20,17,14,"Sam Koch punts 48 yards, returned by Damaris Johnson for 3 yards (tackle by Chykie Brown)",-2.030,-1.270
3,10:12,1,10,PHI 35,17,14,LeSean McCoy left end for -2 yards (tackle by Albert McClellan),1.270,0.450
3,9:49,2,12,PHI 33,17,14,Michael Vick pass complete short right to Brent Celek for 24 yards (tackle by Jimmy Smith),0.450,2.720
3,9:24,1,10,BAL 43,17,14,Michael Vick pass incomplete (defended by Ma'ake Kemoeatu),2.720,2.180
3,9:12,2,10,BAL 43,17,14,LeSean McCoy up the middle for 3 yards (tackle by Jameel McClain),2.180,1.880
3,8:34,3,7,BAL 40,17,14,Michael Vick pass complete short right to Damaris Johnson for 13 yards (tackle by Jimmy Smith),1.880,3.780
3,8:03,1,10,BAL 27,17,14,LeSean McCoy right end for 5 yards (tackle by Lardarius Webb),3.780,3.910
3,7:19,2,5,BAL 22,17,14,Michael Vick for 8 yards,3.910,4.650
3,6:55,1,10,BAL 14,17,14,Bryce Brown right end for 3 yards (tackle by Lardarius Webb),4.650,4.520
3,6:18,2,7,BAL 11,17,14,Michael Vick pass incomplete short left intended for Brent Celek (defended by Albert McClellan),4.520,3.620
3,6:13,3,7,BAL 11,17,14,Michael Vick up the middle for 6 yards (tackle by Dannell Ellerbe),3.620,3.030
,,,,,,,"PHI challenged the first down ruling, and the play was upheld.",,
3,5:33,4,1,BAL 5,17,17,Alex Henery 23 yard field goal good,3.030,3.000
3,5:30,,,PHI 35,17,17,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
3,5:30,1,10,BAL 20,17,17,Ray Rice right end for 6 yards (tackle by Fletcher Cox),0.280,0.540
3,4:57,2,4,BAL 26,17,17,Ray Rice left guard for 2 yards (tackle by Jason Babin),0.540,0.100
3,4:26,3,2,BAL 28,17,17,Joe Flacco pass incomplete short left intended for Ed Dickson,0.100,-1.500
3,4:21,4,2,BAL 28,17,17,"Sam Koch punts 52 yards, returned by Damaris Johnson for 4 yards (tackle by Brendon Ayanbadejo)",-1.500,-0.540
3,4:11,1,10,PHI 24,17,17,Michael Vick sacked by Dannell Ellerbe for -7 yards,0.540,-1.080
3,3:45,2,17,PHI 17,17,17,Michael Vick pass complete short middle to LeSean McCoy for 3 yards (tackle by Ray Lewis),-1.080,-1.220
3,3:07,3,14,PHI 20,17,17,Michael Vick pass complete short right to LeSean McCoy for 5 yards (tackle by Jimmy Smith),-1.220,-1.700
3,2:42,4,9,PHI 25,17,17,"Chas Henry punts 40 yards, returned by Jacoby Jones for 6 yards (tackle by Stanley Havili)",-1.700,-1.660
3,2:32,1,10,BAL 41,17,17,Joe Flacco pass incomplete short left intended for Ray Rice,1.660,1.120
3,2:26,2,10,BAL 41,17,17,Ray Rice right tackle for 9 yards (tackle by Kurt Coleman),1.120,1.620
3,1:48,3,1,,17,17,Joe Flacco pass incomplete short left intended for Anquan Boldin,1.620,-0.060
3,1:43,4,1,,17,17,"Sam Koch punts 41 yards, fair catch by Damaris Johnson",-0.060,0.380
3,1:36,1,10,PHI 9,17,17,LeSean McCoy right end for 6 yards (tackle by Pernell McPhee),-0.380,-0.280
3,1:03,2,4,PHI 15,17,17,"LeSean McCoy right end for no gain (tackle by Jameel McClain). Penalty on Demetress Bell: Offensive Holding, 8 yards (no play)",-0.280,-0.930
3,0:52,2,12,PHI 7,17,17,Michael Vick pass complete deep right to DeSean Jackson for 49 yards (tackle by Ed Reed),-0.930,0.000
3,0:28,,,,17,17,Timeout #2 by Philadelphia Eagles,0.000,2.650
3,0:26,1,10,BAL 44,17,17,Michael Vick pass incomplete deep middle intended for Brent Celek is intercepted by Ed Reed at BAL-27 and returned for 9 yards (tackle by Damaris Johnson),2.650,-1.330
3,0:19,1,10,BAL 36,17,17,Joe Flacco pass complete deep right to Torrey Smith for 40 yards,1.330,3.970
Quarter,Time,Down,ToGo,Location,BAL,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 24,17,17,Ray Rice left end for -4 yards (tackle by Fletcher Cox),3.970,2.890
4,14:21,2,14,PHI 28,17,17,"Joe Flacco pass incomplete short right intended for Anquan Boldin. Penalty on Dominique Rodgers-Cromartie: Illegal Contact, 5 yards (no play)",2.890,4.040
4,14:15,1,10,PHI 23,17,17,Ray Rice up the middle for 2 yards (tackle by Nate Allen),4.040,3.770
4,13:39,2,8,PHI 21,17,17,Ray Rice right end for no gain (tackle by Fletcher Cox),3.770,3.070
4,12:58,3,8,PHI 21,17,17,"Joe Flacco pass complete short left to Torrey Smith for no gain. Penalty on Matt Birk: Offensive Holding, 10 yards (no play)",3.070,1.750
4,12:40,3,18,PHI 31,17,17,"Joe Flacco pass incomplete deep left intended for Jacoby Jones (defended by Nnamdi Asomugha). Penalty on Nnamdi Asomugha: Illegal Contact, 15 yards, Penalty on Jason Babin: Personal Foul (Declined) (no play)",1.750,4.510
4,12:33,1,10,PHI 16,17,17,Ray Rice right tackle for 1 yard (tackle by DeMeco Ryans),4.510,4.050
4,11:55,2,9,PHI 15,17,17,Joe Flacco pass incomplete short left intended for Dennis Pitta (defended by Derek Landri),4.050,3.220
4,11:49,3,9,PHI 15,17,17,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",3.220,2.740
4,11:49,3,14,PHI 20,17,17,Joe Flacco sacked by DeMeco Ryans for -13 yards,2.740,1.150
4,11:33,4,27,PHI 33,20,17,Justin Tucker 51 yard field goal good,1.150,3.000
4,11:28,,,BAL 35,20,17,"Justin Tucker kicks off 65 yards, returned by Brandon Boykin for 27 yards (tackle by Sean Considine)",0.000,0.740
4,11:21,1,10,PHI 27,20,17,Michael Vick pass complete short left to Jason Avant for 17 yards (tackle by Lardarius Webb),0.740,1.860
4,10:54,1,10,PHI 44,20,17,LeSean McCoy right end for 11 yards (tackle by Albert McClellan),1.860,2.590
4,10:27,1,10,BAL 45,20,17,LeSean McCoy left end for 3 yards (tackle by Ray Lewis),2.590,2.450
4,9:54,2,7,BAL 42,20,17,"Michael Vick pass incomplete. Penalty on Evan Mathis: Offensive Holding, 10 yards (no play)",2.450,1.100
,,,,,,,"BAL challenged the runner was down by contact ruling, and the play was upheld.",,
4,9:44,2,17,PHI 48,20,17,Michael Vick pass incomplete,1.100,0.430
4,9:40,3,17,PHI 48,20,17,Michael Vick pass incomplete deep right intended for DeSean Jackson,0.430,-0.190
4,9:33,4,17,PHI 48,20,17,"Chas Henry punts 30 yards, fair catch by Lardarius Webb",-0.190,-0.410
4,9:26,1,10,BAL 22,20,17,Joe Flacco pass incomplete deep right intended for Torrey Smith,0.410,-0.130
4,9:19,2,10,BAL 22,20,17,Ray Rice right guard for 3 yards (tackle by DeMeco Ryans),-0.130,-0.430
4,8:39,3,7,BAL 25,20,17,Joe Flacco pass complete short right to Ray Rice for 13 yards (tackle by Kurt Coleman),-0.430,1.470
4,8:19,1,10,BAL 38,20,17,Ray Rice right tackle for 2 yards (tackle by Cullen Jenkins),1.470,1.190
4,7:45,2,8,BAL 40,20,17,Joe Flacco pass incomplete short left intended for Dennis Pitta (defended by Mychal Kendricks),1.190,0.500
4,7:40,3,8,BAL 40,20,17,Joe Flacco pass complete short right to Ray Rice for 37 yards (tackle by Kurt Coleman),0.500,4.040
4,6:53,1,10,PHI 23,20,17,Bernard Pierce left end for -2 yards (tackle by DeMeco Ryans),4.040,3.230
4,6:19,2,12,PHI 25,20,17,Bernard Pierce up the middle for no gain (tackle by Brandon Graham),3.230,2.540
4,5:35,3,12,PHI 25,20,17,"Joe Flacco pass complete deep right to Jacoby Jones for 25 yards. Penalty on Jacoby Jones: Offensive Pass Interference, 10 yards (no play)",2.540,1.220
4,5:29,3,22,PHI 35,20,17,Joe Flacco pass complete short middle to Ray Rice for 5 yards (tackle by Mychal Kendricks),1.220,1.410
4,4:48,4,17,PHI 30,23,17,Justin Tucker 48 yard field goal good,1.410,3.000
4,4:43,,,BAL 35,23,17,"Justin Tucker kicks off 65 yards, touchback",0.000,0.280
4,4:43,1,10,PHI 20,23,17,Michael Vick pass complete short left to DeSean Jackson for 14 yards,0.280,1.200
4,4:29,1,10,PHI 34,23,17,Michael Vick pass complete deep right to Brent Celek for 24 yards (tackle by Ray Lewis),1.200,2.790
4,3:57,1,10,BAL 42,23,17,Michael Vick for 8 yards,2.790,3.320
4,3:50,2,2,BAL 34,23,17,LeSean McCoy left end for no gain (tackle by Dannell Ellerbe),3.320,2.610
4,3:16,3,2,BAL 34,23,17,Michael Vick pass complete short middle to Brent Celek for 13 yards (tackle by Jameel McClain),2.610,4.170
4,2:49,1,10,BAL 21,23,17,LeSean McCoy up the middle for -4 yards (tackle by Courtney Upshaw),4.170,3.090
4,2:15,2,14,BAL 25,23,17,"Michael Vick pass complete short right to Clay Harbor for 19 yards (tackle by Lardarius Webb). Penalty on Arthur Jones: Roughing the Passer, 3 yards",3.090,6.510
4,2:05,1,3,BAL 3,23,17,Michael Vick up the middle for 2 yards (tackle by Haloti Ngata),6.510,5.910
4,2:00,2,1,BAL 1,23,17,Michael Vick pass incomplete,5.910,5.170
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
4,1:57,3,1,BAL 1,23,23,"Michael Vick up the middle for 1 yard, touchdown",5.170,7.000
4,1:57,,,BAL 2,23,24,Alex Henery kicks extra point good,0.000,0.000
4,,,,PHI 35,,,"Alex Henery kicks off 73 yards, returned by Deonte Thompson for 28 yards (tackle by Mardy Gilyard)",,
4,1:48,1,10,BAL 20,23,24,Joe Flacco pass incomplete short right intended for Anquan Boldin,0.280,-0.270
4,1:43,2,10,BAL 20,23,24,Joe Flacco pass incomplete deep middle intended for Jacoby Jones (defended by Brandon Boykin),-0.270,-0.960
4,1:38,3,10,BAL 20,23,24,Joe Flacco pass complete short left to Dennis Pitta for 12 yards (tackle by Kurt Coleman),-0.960,1.070
4,1:31,1,10,BAL 32,23,24,"Joe Flacco pass incomplete short left intended for Tandon Doss. Penalty on Nnamdi Asomugha: Illegal Contact, 5 yards (no play)",1.070,1.400
4,1:26,1,10,BAL 37,23,24,Joe Flacco pass incomplete deep left intended for Ed Dickson (defended by Nate Allen),1.400,0.860
4,1:21,2,10,BAL 37,23,24,Joe Flacco pass complete short left to Dennis Pitta for 9 yards (tackle by Nate Allen),0.860,1.360
4,0:57,3,1,BAL 46,23,24,Joe Flacco pass incomplete short left intended for Dennis Pitta,1.360,-0.320
4,0:54,4,1,BAL 46,23,24,Joe Flacco pass incomplete short right intended for Ray Rice,-0.320,-2.590
4,0:50,1,10,BAL 45,23,24,Michael Vick kneels for -1 yards,2.590,1.910
4,0:14,2,11,BAL 46,23,24,Michael Vick kneels for -1 yards,1.910,1.090
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
