Unnamed: 0,DAL,LAR
First Downs,24,23
Rush-Yds-TDs,27-136-1,40-153-2
Cmp-Att-Yd-TD-INT,25-39-266-1-0,20-31-275-0-1
Sacked-Yards,3-22,1-6
Net Pass Yards,244,269
Total Yards,380,422
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,7-50,5-34
Third Down Conv.,3-12,9-17
Fourth Down Conv.,1-3,1-1
Time of Possession,24:22,35:38
