Quarter,Time,Tm,Detail,DAL,LAR
1.0,11:37,Rams,Malcolm Brown 1 yard rush (Sam Sloman kick),0,7
2.0,12:24,Cowboys,Ezekiel Elliott 19 yard pass from Dak Prescott (Greg Zuerlein kick),7,7
,8:42,Rams,Sam Sloman 35 yard field goal,7,10
,1:56,Rams,Sam Sloman 31 yard field goal,7,13
,0:17,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),14,13
3.0,5:33,Rams,Malcolm Brown 2 yard rush (Sam Sloman kick),14,20
,1:50,Cowboys,Greg Zuerlein 33 yard field goal,17,20
