Quarter,Time,Tm,Detail,JAX,WAS
1.0,8:12,Redskins,Darrel Young 20 yard pass from Kirk Cousins (Kai Forbath kick),0,7
2.0,14:18,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),0,14
,7:28,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),0,21
,1:40,Jaguars,Marcedes Lewis 63 yard pass from Chad Henne (Josh Scobee kick),7,21
3.0,8:30,Redskins,Kai Forbath 36 yard field goal,7,24
4.0,14:12,Redskins,Niles Paul 2 yard pass from Kirk Cousins (Kai Forbath kick),7,31
,10:40,Redskins,Kai Forbath 42 yard field goal,7,34
,6:50,Jaguars,Josh Scobee 36 yard field goal,10,34
,1:52,Redskins,Silas Redd 14 yard rush (Kai Forbath kick),10,41
