Unnamed: 0,JAX,WAS
First Downs,8,32
Rush-Yds-TDs,10-25-0,42-191-3
Cmp-Att-Yd-TD-INT,14-28-193-1-1,24-36-288-2-0
Sacked-Yards,10-70,3-30
Net Pass Yards,123,258
Total Yards,148,449
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-44,11-98
Third Down Conv.,3-13,6-14
Fourth Down Conv.,0-1,1-2
Time of Possession,20:59,39:01
