Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,1,JAX 1,0,7,Alfred Morris right guard for no gain (tackle by Paul Posluszny),6.970,5.910
2,14:23,2,1,JAX 1,0,13,"Alfred Morris right end for 1 yard, touchdown",5.910,7.000
2,14:23,,,JAX 2,0,14,Kai Forbath kicks extra point good,0.000,0.000
2,14:23,,,WAS 35,0,14,"Tress Way kicks off 71 yards, returned by Jordan Todman for 40 yards (tackle by Trent Robinson)",0.000,-1.200
2,14:12,1,10,JAX 34,0,14,Chad Henne pass incomplete deep left intended for Marcedes Lewis,1.200,0.660
2,14:06,2,10,JAX 34,0,14,Chad Henne pass complete short left to Allen Robinson for 7 yards (tackle by David Amerson and Ryan Clark),0.660,0.890
2,13:27,3,3,JAX 41,0,14,Chad Henne sacked by Jason Hatcher for -6 yards,0.890,-1.040
2,12:45,4,9,JAX 35,0,14,"Bryan Anger punts 52 yards, returned by Andre Roberts for 10 yards (tackle by LaRoy Reynolds). Penalty on Bashaud Breeland: Illegal Block Above the Waist, 8 yards",-1.040,0.380
2,12:38,1,10,WAS 8,0,14,Alfred Morris right tackle for 2 yards (tackle by Winston Guy),-0.380,-0.630
2,12:04,2,8,WAS 10,0,14,Kirk Cousins pass complete short right to Niles Paul for 6 yards (tackle by Demetrius McCray and Dekoda Watson),-0.630,-0.480
2,11:39,3,2,WAS 16,0,14,Kirk Cousins pass complete deep middle to Andre Roberts for 31 yards (tackle by Will Blackmon and Josh Evans),-0.480,2.060
2,10:55,1,10,WAS 47,0,14,Andre Roberts right end for 19 yards (tackle by Chris Clemons),2.060,3.310
2,10:16,1,10,JAX 34,0,14,"Alfred Morris left tackle for 23 yards (tackle by Chris Clemons). Penalty on Adrian Robinson: Offensive Holding, 10 yards",3.310,4.170
2,9:46,1,10,JAX 21,0,14,Roy Helu left end for 9 yards (tackle by Alan Ball),4.170,5.160
2,9:05,2,1,JAX 12,0,14,Roy Helu right tackle for no gain (tackle by Tyson Alualu and Roy Miller),5.160,4.490
2,8:27,3,1,JAX 12,0,14,Kirk Cousins pass complete short right to Niles Paul for 8 yards (tackle by Winston Guy). Penalty on Alan Ball: Illegal Contact (Declined),4.490,6.280
2,8:13,1,4,JAX 4,0,14,Alfred Morris left tackle for 3 yards (tackle by Dekoda Watson and Winston Guy),6.280,5.910
2,7:35,2,1,JAX 1,0,20,"Alfred Morris right tackle for 1 yard, touchdown. Penalty on Roy Miller: Defensive Holding (Declined)",5.910,7.000
2,7:35,,,JAX 2,0,21,Kai Forbath kicks extra point good,0.000,0.000
2,7:35,,,WAS 35,0,21,"Tress Way kicks off 69 yards, returned by Jordan Todman for 20 yards (tackle by Trent Robinson)",0.000,0.140
2,7:23,1,10,JAX 16,0,21,"Denard Robinson right guard for no gain (tackle by Keenan Robinson). Penalty on DeAngelo Hall: Unnecessary Roughness, 15 yards (no play)",-0.140,1.000
2,7:09,1,10,JAX 31,0,21,Chad Henne pass incomplete short right intended for Marqise Lee (defended by Bashaud Breeland),1.000,0.460
2,7:04,2,10,JAX 31,0,21,Chad Henne left end for 12 yards (tackle by DeAngelo Hall),0.460,1.800
2,7:04,1,10,JAX 43,0,21,Chad Henne sacked by Ryan Kerrigan for -7 yards. Penalty on Allen Robinson: Illegal Formation (Declined),1.800,0.310
2,6:23,2,17,JAX 36,0,21,Toby Gerhart left end for 2 yards,0.310,-0.100
2,5:55,3,15,JAX 38,0,21,Chad Henne pass complete short left to Allen Robinson for 8 yards,-0.100,-0.320
2,5:33,4,7,JAX 46,0,21,"Bryan Anger punts 40 yards, returned by Andre Roberts for 1 yard (tackle by LaRoy Reynolds)",-0.320,0.220
2,5:23,1,10,WAS 15,0,21,"Kirk Cousins pass incomplete deep right intended for Andre Roberts. Penalty on Dwayne Gratz: Defensive Pass Interference, 14 yards (no play)",-0.220,0.870
2,5:15,1,10,WAS 29,0,21,Alfred Morris left end for 3 yards (tackle by Josh Evans),0.870,0.730
2,4:39,2,7,WAS 32,0,21,Kirk Cousins pass complete short left to Adrian Robinson for 6 yards (tackle by Alan Ball),0.730,0.830
2,3:57,3,1,WAS 38,0,21,Roy Helu left end for no gain (tackle by Roy Miller and Tyson Alualu),0.830,-0.850
2,3:25,4,1,WAS 38,0,21,"Tress Way punts 48 yards, returned by Mike Brown for no gain. Penalty on Akeem Davis: Unnecessary Roughness, 15 yards",-0.850,-0.870
2,3:15,1,10,JAX 29,0,21,Toby Gerhart right end for 2 yards (tackle by Chris Baker),0.870,0.600
2,2:45,2,8,JAX 31,0,21,Chad Henne pass complete short right to Marcedes Lewis for 8 yards (tackle by DeAngelo Hall and Perry Riley),0.600,1.530
2,2:14,1,10,JAX 39,0,21,Chad Henne sacked by Perry Riley for -8 yards,1.530,-0.090
2,2:00,2,18,JAX 31,0,21,Chad Henne pass complete short left to Denard Robinson for 6 yards (tackle by David Amerson),-0.090,-0.090
2,1:51,2,18,JAX 31,0,21,Timeout #2 by Washington Redskins,-0.090,0.040
2,1:51,3,12,JAX 37,6,21,"Chad Henne pass complete deep right to Marcedes Lewis for 63 yards, touchdown",0.040,7.000
2,1:51,,,WAS 2,7,21,Josh Scobee kicks extra point good,0.000,0.000
2,1:51,,,JAX 35,7,21,"Josh Scobee kicks off 65 yards, touchback",0.000,-0.280
2,1:40,1,10,WAS 20,7,21,Kirk Cousins pass complete short right to Ryan Grant for 9 yards (tackle by Dwayne Gratz),0.280,0.950
2,1:34,2,1,WAS 29,7,21,Kirk Cousins pass complete short right to Andre Roberts for 6 yards (tackle by Will Blackmon),0.950,1.270
2,1:30,1,10,WAS 35,7,21,Kirk Cousins pass complete short left to Niles Paul for 6 yards (tackle by Will Blackmon),1.270,1.530
2,1:22,2,4,WAS 41,7,21,Kirk Cousins pass incomplete short middle intended for Andre Roberts (defended by Ryan Davis),1.530,0.830
2,1:18,3,4,WAS 41,7,21,Kirk Cousins pass complete short left to Roy Helu for 5 yards (tackle by Alan Ball),0.830,1.990
2,1:12,1,10,WAS 46,7,21,Kirk Cousins pass complete deep middle to Niles Paul for 26 yards (tackle by Telvin Smith and Josh Evans),1.990,3.710
2,1:12,1,10,JAX 28,7,21,"Penalty on Trent Williams: False Start, 5 yards (no play)",3.710,3.380
2,0:43,1,15,JAX 33,7,21,"Kirk Cousins pass incomplete short left intended for Pierre Garcon. Penalty on Andre Branch: Illegal Use of Hands, 5 yards (no play)",3.380,3.710
2,0:37,1,10,JAX 28,7,21,Kirk Cousins pass incomplete deep left intended for Pierre Garcon,3.710,3.170
2,0:32,2,10,JAX 28,7,21,Kirk Cousins pass incomplete short left intended for Ryan Grant,3.170,2.480
2,0:29,3,10,JAX 28,7,21,Kirk Cousins sacked by Winston Guy for -10 yards,2.480,2.480
2,0:03,3,10,JAX 28,7,21,Timeout #1 by Jacksonville Jaguars,2.480,0.720
2,0:03,4,20,JAX 38,7,21,Kirk Cousins pass incomplete deep right intended for Niles Paul (defended by Josh Evans),0.720,1.470
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,21,"Tress Way kicks off 68 yards, returned by Jordan Todman for 21 yards. Penalty on Adam Hayward: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,15:00,,,WAS 30,7,21,"Tress Way kicks off 69 yards, returned by Jordan Todman for 24 yards (tackle by Bashaud Breeland)",0.000,-0.610
3,14:50,1,10,JAX 25,7,21,Toby Gerhart right end for -2 yards (tackle by Chris Baker),0.610,-0.210
3,14:20,2,12,JAX 23,7,21,Chad Henne right end for 3 yards (tackle by Keenan Robinson),-0.210,-0.490
3,13:43,3,9,JAX 26,7,21,Chad Henne sacked by Jason Hatcher for -6 yards,-0.490,-2.030
3,13:05,4,15,JAX 20,7,21,"Bryan Anger punts 47 yards, returned by Andre Roberts for 37 yards (tackle by Telvin Smith)",-2.030,-3.580
3,12:51,1,10,JAX 30,7,21,"Penalty on Shawn Lauvao: False Start, 5 yards (no play)",3.580,3.250
3,12:51,1,15,JAX 35,7,21,Kirk Cousins pass incomplete deep right intended for Pierre Garcon (defended by Dwayne Gratz),3.250,2.360
3,12:44,2,15,JAX 35,7,21,Roy Helu left tackle for 5 yards (tackle by Roy Miller and Sen'Derrick Marks),2.360,2.340
3,12:01,3,10,JAX 30,7,21,Kirk Cousins pass complete short middle to Ryan Grant for 10 yards (tackle by Alan Ball),2.340,4.240
3,11:21,1,10,JAX 20,7,21,Kirk Cousins pass incomplete short middle intended for Niles Paul,4.240,3.690
3,11:15,2,10,JAX 20,7,21,Alfred Morris right end for 6 yards (tackle by Paul Posluszny),3.690,3.890
3,10:34,3,4,JAX 14,7,21,Kirk Cousins pass complete short right to Andre Roberts for 8 yards (tackle by Will Blackmon and Dwayne Gratz),3.890,5.830
3,9:56,1,6,JAX 6,7,21,"Alfred Morris left guard for 5 yards (tackle by LaRoy Reynolds and Josh Evans). Penalty on Trent Williams: Unsportsmanlike Conduct, 15 yards",5.830,3.340
3,9:12,2,16,JAX 16,7,21,Kirk Cousins pass incomplete deep left intended for Ryan Grant,3.340,2.850
3,9:11,3,16,JAX 16,7,21,Roy Helu up the middle for -1 yards (tackle by Sen'Derrick Marks),2.850,2.310
3,8:35,4,17,JAX 17,7,24,Kai Forbath 36 yard field goal good,2.310,3.000
3,8:35,,,WAS 35,7,24,"Tress Way kicks off 65 yards, touchback",0.000,-0.280
3,8:30,1,10,JAX 20,7,24,Chad Henne pass incomplete deep left intended for Allen Robinson,0.280,-0.270
3,8:24,2,10,JAX 20,7,24,Chad Henne sacked by Ryan Kerrigan for -5 yards,-0.270,-1.860
3,7:45,3,15,JAX 15,7,24,Chad Henne sacked by Ryan Kerrigan for -7 yards,-1.860,-2.490
3,7:45,4,22,JAX 8,7,24,"Bryan Anger punts 55 yards, returned by Andre Roberts for 1 yard (tackle by Demetrius McCray)",-2.490,-1.470
3,6:54,1,10,WAS 38,7,24,Kirk Cousins pass incomplete short left intended for Pierre Garcon,1.470,0.920
3,6:50,2,10,WAS 38,7,24,Roy Helu right end for 2 yards (tackle by Tyson Alualu),0.920,0.500
3,6:09,3,8,WAS 40,7,24,Kirk Cousins pass complete short middle to Roy Helu for 6 yards (tackle by Josh Evans). Penalty on Shawn Lauvao: Offensive Holding (Declined),0.500,-0.320
3,5:50,4,2,WAS 46,7,24,"Tress Way punts 29 yards, out of bounds. Penalty on Adam Hayward: Illegal Formation, 5 yards",-0.320,-0.940
3,5:41,1,10,JAX 30,7,24,Chad Henne pass incomplete deep left intended for Allen Hurns,0.940,0.390
3,5:33,2,10,JAX 30,7,24,Chad Henne pass complete short right to Marqise Lee for 3 yards (tackle by Keenan Robinson),0.390,0.100
3,5:05,3,7,JAX 33,7,24,Chad Henne pass complete short left to Allen Hurns for 10 yards,0.100,1.800
3,4:49,1,10,JAX 43,7,24,Chad Henne pass incomplete short middle intended for Mike Brown,1.800,1.250
3,4:45,2,10,JAX 43,7,24,Chad Henne pass incomplete short right intended for Mike Brown. Penalty on Will Ta'ufo'ou: Offensive Holding (Declined),1.250,0.560
3,4:37,3,10,JAX 43,7,24,Chad Henne sacked by Ryan Clark and Keenan Robinson for -8 yards,0.560,-1.040
3,4:01,4,18,JAX 35,7,24,"Bryan Anger punts 30 yards, out of bounds",-1.040,-1.270
3,3:52,1,10,WAS 35,7,24,Kirk Cousins pass incomplete deep right intended for Adrian Robinson,1.270,0.720
3,3:46,2,10,WAS 35,7,24,Kirk Cousins pass complete short left to Pierre Garcon for 12 yards,0.720,2.060
3,3:21,1,10,WAS 47,7,24,Alfred Morris right end for 3 yards (tackle by Tyson Alualu and Roy Miller),2.060,1.920
3,2:42,2,7,,7,24,Alfred Morris left guard for 7 yards (tackle by Winston Guy and Paul Posluszny),1.920,2.720
3,2:04,1,10,JAX 43,7,24,Kirk Cousins pass incomplete deep left intended for Niles Paul,2.720,2.180
3,1:58,2,10,JAX 43,7,24,Kirk Cousins pass complete short left to Ryan Grant for 14 yards (tackle by Josh Evans),2.180,3.640
3,1:29,1,10,JAX 29,7,24,Roy Helu up the middle for 4 yards (tackle by Dwayne Gratz and Josh Evans),3.640,3.640
3,0:49,2,6,JAX 25,7,24,Alfred Morris left end for 1 yard (tackle by Winston Guy and Tyson Alualu),3.640,3.070
3,0:06,3,5,JAX 24,7,24,Kirk Cousins pass complete deep right to Ryan Grant for 21 yards,3.070,6.510
Quarter,Time,Down,ToGo,Location,JAX,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,3,JAX 3,7,24,Alfred Morris left guard for 1 yard (tackle by Josh Evans),6.510,5.720
4,14:17,2,2,JAX 2,7,30,"Kirk Cousins pass complete short right to Niles Paul for 2 yards, touchdown",5.720,7.000
4,14:17,,,JAX 2,7,31,Kai Forbath kicks extra point good,0.000,0.000
4,14:17,,,WAS 35,7,31,"Tress Way kicks off 65 yards, touchback",0.000,-0.280
4,14:12,1,10,JAX 20,7,31,Toby Gerhart right tackle for 3 yards (tackle by Keenan Robinson and Perry Riley),0.280,0.140
4,13:42,2,7,JAX 23,7,31,"Chad Henne sacked by Chris Baker for -5 yards. Penalty on Jarvis Jenkins: Illegal Use of Hands, 5 yards (no play)",0.140,0.140
4,13:20,2,7,JAX 23,7,31,Timeout #1 by Washington Redskins,0.140,0.810
4,13:19,1,10,JAX 28,7,31,Chad Henne pass incomplete short left intended for Allen Hurns is intercepted by Trent Robinson at JAX-43 and returned for 14 yards,0.810,-3.640
4,13:12,1,10,JAX 29,7,31,Alfred Morris right tackle for 1 yard (tackle by LaRoy Reynolds),3.640,3.240
4,12:32,2,9,JAX 28,7,31,"Kirk Cousins pass complete short right to Darrel Young for 7 yards (tackle by Dwayne Gratz and Geno Hayes). Penalty on Winston Guy: Unnecessary Roughness, 10 yards",3.240,4.840
4,12:13,1,10,JAX 11,7,31,Alfred Morris left end for -2 yards (tackle by Sen'Derrick Marks),4.840,3.830
4,11:33,2,12,JAX 13,7,31,Kirk Cousins pass incomplete short right intended for Ryan Grant,3.830,3.080
4,11:27,3,12,JAX 13,7,31,Kirk Cousins sacked by Telvin Smith for -11 yards,3.080,1.870
4,10:46,4,23,JAX 24,7,34,Kai Forbath 42 yard field goal good,1.870,3.000
4,10:46,,,WAS 35,7,34,"Tress Way kicks off 65 yards, touchback",0.000,-0.280
4,10:40,1,10,JAX 20,7,34,Chad Henne pass complete short middle to Allen Robinson for 6 yards (tackle by David Amerson),0.280,0.540
4,10:15,2,4,JAX 26,7,34,Chad Henne pass incomplete short right intended for Mickey Shuler,0.540,-0.160
4,10:10,3,4,JAX 26,7,34,"Penalty on Sam Young: False Start, 5 yards (no play)",-0.160,-0.820
4,10:10,3,9,JAX 21,7,34,Chad Henne pass complete deep middle to Allen Robinson for 54 yards (tackle by Trent Robinson),-0.820,3.910
4,9:28,1,10,WAS 25,7,34,Chad Henne pass complete short middle to Denard Robinson for 8 yards (tackle by Perry Riley),3.910,4.550
4,9:01,2,2,WAS 17,7,34,Chad Henne left end for 2 yards (tackle by Trent Robinson),4.550,4.580
4,8:29,1,10,WAS 15,7,34,Chad Henne pass incomplete short left intended for Allen Robinson,4.580,3.950
4,8:21,2,10,WAS 15,7,34,Chad Henne pass complete short left to Toby Gerhart for 6 yards (tackle by Keenan Robinson),3.950,4.220
4,7:44,3,4,WAS 9,7,34,Chad Henne sacked by Frank Kearse for -8 yards,4.220,2.310
4,6:55,4,12,WAS 17,10,34,Josh Scobee 36 yard field goal good,2.310,3.000
4,6:55,,,JAX 35,10,34,"Josh Scobee kicks onside 6 yards, recovered by DeAngelo Hall",0.000,-2.850
4,6:49,1,10,JAX 41,10,34,Silas Redd right end for 2 yards (tackle by Tyson Alualu),2.850,2.580
4,6:08,2,8,JAX 39,10,34,Silas Redd left guard for 11 yards (tackle by Andre Branch),2.580,3.710
4,5:25,1,10,JAX 28,10,34,Silas Redd left end for 8 yards (tackle by Josh Evans and Dekoda Watson),3.710,4.250
4,4:41,2,2,JAX 20,10,34,Silas Redd left end for 3 yards (tackle by Abry Jones),4.250,4.440
4,4:07,1,10,JAX 17,10,34,Silas Redd up the middle for 3 yards (tackle by Abry Jones and Dekoda Watson),4.440,4.320
4,3:24,2,7,JAX 14,10,34,Silas Redd right end for -1 yards (tackle by Abry Jones and Tyson Alualu),4.320,4.320
4,2:39,2,7,JAX 14,10,34,Timeout #2 by Washington Redskins,4.320,3.340
4,2:39,3,8,JAX 15,10,34,Silas Redd left end for 1 yard (tackle by Dekoda Watson and Chris Clemons),3.340,2.510
4,2:00,4,7,JAX 14,10,40,"Silas Redd left end for 14 yards, touchdown",2.510,7.000
4,2:00,,,JAX 2,10,41,Kai Forbath kicks extra point good,0.000,0.000
4,2:00,,,WAS 35,10,41,"Tress Way kicks off 65 yards, returned by Jordan Todman for 27 yards (tackle by Adam Hayward)",0.000,-0.740
4,1:46,1,10,JAX 27,10,41,Chad Henne sacked by Ryan Kerrigan for -4 yards,0.740,-0.340
4,1:10,2,14,JAX 23,10,41,Chad Henne pass complete short left to Toby Gerhart for 3 yards (tackle by Keenan Robinson),-0.340,-0.620
4,1:10,3,11,JAX 26,10,41,"Penalty on Brandon Linder: False Start, 5 yards (no play)",-0.620,-0.620
4,1:10,3,11,JAX 26,10,41,Timeout #1 by Jacksonville Jaguars,-0.620,-1.290
4,0:34,3,16,JAX 21,10,41,Chad Henne pass incomplete deep middle intended for Mike Brown (defended by E.J. Biggers),-1.290,-1.960
4,0:28,4,16,JAX 21,10,41,Chad Henne pass complete short left to Allen Hurns for 3 yards (tackle by William Compton and Duke Ihenacho),-1.960,-3.970
4,0:21,1,10,JAX 24,10,41,Kirk Cousins kneels for -1 yards,3.970,3.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
