Unnamed: 0,OAK,KAN
First Downs,17,16
Rush-Yds-TDs,17-78-0,27-93-1
Cmp-Att-Yd-TD-INT,27-56-222-1-0,18-31-297-2-0
Sacked-Yards,4-20,1-2
Net Pass Yards,202,295
Total Yards,280,388
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,10-75,11-84
Third Down Conv.,5-18,3-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:00,30:00
