Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
1,8:26,2,2,DAL 33,0,7,Julius Jones up the middle for 15 yards (tackle by George Wilson and John DiGiorgio),1.140,2.130
1,7:58,1,10,DAL 48,0,7,Tony Romo pass incomplete short right intended for Jason Witten is intercepted by Angelo Crowell at DAL-49 and returned for 5 yards (tackle by Jason Witten),2.130,-2.650
1,7:53,1,10,DAL 44,0,7,Trent Edwards pass complete short right to Josh Reed for 6 yards (tackle by Jacques Reeves),2.650,2.920
1,7:13,2,4,DAL 38,0,7,Marshawn Lynch up the middle for 2 yards (tackle by DeMarcus Ware),2.920,2.480
1,6:39,,,,0,7,Timeout #1 by Buffalo Bills,0.000,2.480
1,6:39,3,2,DAL 36,0,7,Marshawn Lynch left guard for 1 yard (tackle by Roy Williams),2.480,1.000
1,5:56,4,1,DAL 35,0,7,Marshawn Lynch left guard for no gain (tackle by Chris L. Canty and Bradie James),1.000,-1.330
1,5:52,1,10,DAL 36,0,7,Marion Barber left tackle for 2 yards (tackle by Angelo Crowell),1.330,1.060
1,5:15,2,8,DAL 38,0,7,Tony Romo pass incomplete short right intended for Terrell Owens,1.060,0.370
1,5:11,3,8,DAL 38,0,7,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",0.370,-0.300
1,5:11,3,13,DAL 33,0,7,Tony Romo pass complete short left to Marion Barber for 3 yards (tackle by Jabari Greer),-0.300,-0.980
1,4:32,4,10,DAL 36,0,7,Mat McBriar punts 58 yards,-0.980,0.380
1,4:20,1,10,BUF 6,0,7,Marshawn Lynch left guard for -1 yards (tackle by Jason Hatcher),-0.380,-0.850
1,3:45,2,11,BUF 5,0,7,Trent Edwards pass complete short right to Josh Reed for 1 yard (tackle by Anthony Spencer),-0.850,-1.420
1,3:04,3,10,BUF 6,0,7,Trent Edwards pass complete short right to Roscoe Parrish for 12 yards,-1.420,0.040
1,2:39,1,10,BUF 18,0,7,Trent Edwards pass complete short left to Roscoe Parrish for -4 yards (tackle by Terence Newman),0.040,-1.040
1,2:00,2,14,BUF 14,0,7,Trent Edwards pass incomplete short middle intended for Marshawn Lynch,-1.040,-1.820
1,1:56,3,14,BUF 14,0,7,Trent Edwards pass complete short left to Anthony Thomas for 8 yards (tackle by Kevin Burnett),-1.820,-1.900
1,1:17,4,6,BUF 22,0,7,"Brian Moorman punts 48 yards, fair catch by Patrick Crayton",-1.900,-0.940
1,1:09,1,10,DAL 30,0,7,Tony Romo pass complete short right to Jason Witten for 16 yards (tackle by George Wilson),0.940,1.990
1,0:32,1,10,DAL 46,0,7,Marion Barber left tackle for -1 yards (tackle by Angelo Crowell and John McCargo),1.990,1.320
Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DAL 45,0,7,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Keith Ellison),1.320,1.690
2,14:15,3,3,BUF 47,0,7,Tony Romo pass complete short middle to Jason Witten for 11 yards (tackle by Donte Whitner),1.690,3.180
2,13:39,1,10,BUF 36,0,7,Tony Romo pass incomplete deep left intended for Patrick Crayton (defended by Jabari Greer),3.180,2.640
2,13:33,2,10,BUF 36,0,7,Marion Barber right end for 5 yards (tackle by Terrence McGee),2.640,2.610
2,12:49,3,5,BUF 31,0,7,"Tony Romo pass complete short left to Terrell Owens for 14 yards (tackle by Jabari Greer). Penalty on Terrell Owens: Delay of Game, 5 yards",2.610,4.110
2,12:15,1,10,BUF 22,6,7,"Tony Romo pass complete deep left to Jason Witten for 22 yards, touchdown",4.110,7.000
2,,,,BUF 2,7,7,Nick Folk kicks extra point good,0.000,0.000
2,,,,DAL 30,7,7,"Nick Folk kicks off 67 yards, returned by Terrence McGee for 19 yards (tackle by Kevin Burnett)",0.000,0.410
2,12:03,1,10,BUF 22,7,7,Marshawn Lynch left guard for 3 yards (tackle by DeMarcus Ware),0.410,0.270
2,11:28,2,7,BUF 25,7,7,Trent Edwards pass complete short middle to Marshawn Lynch for 23 yards (tackle by Roy Williams),0.270,2.130
2,11:00,1,10,BUF 48,7,7,Trent Edwards pass incomplete short right intended for Sam Aiken,2.130,1.580
2,10:58,2,10,BUF 48,7,7,"Penalty on Michael Gaines: False Start, 5 yards (no play)",1.580,0.910
2,10:58,2,15,BUF 43,7,7,Trent Edwards pass complete short middle to Roscoe Parrish for 16 yards (tackle by Anthony Spencer),0.910,2.850
2,10:09,1,10,DAL 41,7,7,Marshawn Lynch left tackle for -1 yards (tackle by Anthony Spencer),2.850,2.170
2,9:31,2,11,DAL 42,7,7,Trent Edwards pass complete short left to Lee Evans for 12 yards (tackle by Terence Newman),2.170,3.580
2,9:04,1,10,DAL 30,7,7,Trent Edwards sacked by DeMarcus Ware and Jay Ratliff for -9 yards,3.580,1.820
2,8:32,2,19,DAL 39,7,7,Marshawn Lynch right tackle for 11 yards (tackle by Bradie James and Akin Ayodele),1.820,2.610
2,7:43,,,,7,7,Timeout #2 by Buffalo Bills,0.000,2.610
2,7:43,3,8,DAL 28,7,7,Trent Edwards pass complete short middle to Marshawn Lynch for 9 yards (tackle by Bradie James),2.610,4.310
2,7:02,1,10,DAL 19,7,7,Trent Edwards pass complete short left to Robert Royal for 9 yards (tackle by Ken Hamlin),4.310,5.360
2,6:22,2,1,DAL 10,7,7,Marshawn Lynch left guard for 2 yards (tackle by Jay Ratliff),5.360,5.370
2,5:39,1,8,DAL 8,7,7,Trent Edwards pass complete short left to Roscoe Parrish for no gain,5.370,4.570
2,4:54,2,8,DAL 8,7,7,Marshawn Lynch right tackle for 2 yards (tackle by DeMarcus Ware),4.570,4.040
2,4:13,3,6,DAL 6,7,7,Trent Edwards pass complete short right to Michael Gaines for 1 yard (tackle by Bradie James),4.040,3.010
2,3:30,4,5,DAL 5,7,10,Rian Lindell 24 yard field goal good,3.010,3.000
2,,,,BUF 30,7,10,"Rian Lindell kicks off 69 yards, returned by Tyson Thompson for 21 yards (tackle by Leon Joe). Penalty on Kevin Burnett: Low Block, 11 yards",0.000,-0.370
2,3:21,1,10,DAL 11,7,16,"Tony Romo pass incomplete is intercepted by Chris Kelsay at DAL-4, touchdown",-0.370,-7.000
2,,,,DAL 2,7,17,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,7,17,"Rian Lindell kicks off 75 yards, touchback",0.000,0.280
2,3:15,1,10,DAL 20,7,17,Julius Jones up the middle for 4 yards (tackle by Keith Ellison),0.280,0.270
2,2:43,2,6,DAL 24,7,17,Tony Romo pass complete short right to Deon Anderson for 3 yards (tackle by Donte Whitner),0.270,-0.030
2,2:16,3,3,DAL 27,7,17,Tony Romo pass incomplete short left intended for Sam Hurd is intercepted by Jabari Greer at DAL-42 and returned for -1 yards (tackle by Sam Hurd),-0.030,-2.720
2,2:05,1,10,DAL 43,7,17,Trent Edwards pass complete short right to Michael Gaines for 5 yards (tackle by Bradie James),2.720,2.850
2,1:57,2,5,DAL 38,7,17,"Trent Edwards pass complete deep right to Robert Royal for 26 yards (tackle by Roy Williams). Penalty on Derrick Dockery: Offensive Holding, 9 yards (no play)",2.850,1.640
2,1:47,2,14,DAL 47,7,17,Trent Edwards pass complete short left to Robert Royal for 6 yards (tackle by Jacques Reeves),1.640,1.750
2,1:00,,,,7,17,Timeout #3 by Buffalo Bills,0.000,0.000
2,1:00,,,,7,17,Timeout #1 by Dallas Cowboys,0.000,1.750
2,1:00,3,8,DAL 41,7,17,Trent Edwards pass complete short left to Roscoe Parrish for 5 yards (tackle by Pat Watkins),1.750,0.890
2,0:41,,,,7,17,Timeout #2 by Dallas Cowboys,0.000,0.890
2,0:41,4,3,DAL 36,7,17,Rian Lindell 54 yard field goal no good,0.890,-1.860
2,0:36,1,10,DAL 44,7,17,Julius Jones right guard for 5 yards (tackle by Terrence McGee),1.860,1.990
2,0:25,,,,7,17,Timeout #3 by Dallas Cowboys,0.000,1.990
2,0:25,2,5,DAL 49,7,17,Tony Romo pass incomplete deep left intended for Terrell Owens,1.990,1.290
2,0:18,3,5,DAL 49,7,17,Tony Romo pass complete deep middle to Sam Hurd for 22 yards (tackle by Angelo Crowell),1.290,3.640
2,0:03,1,10,BUF 29,7,17,Tony Romo spiked the ball,3.640,3.100
2,0:03,2,10,BUF 29,10,17,Nick Folk 47 yard field goal good,3.100,3.000
Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,10,17,"Rian Lindell kicks off 67 yards, returned by Tyson Thompson for 14 yards (tackle by Mario Haggan)",0.000,-0.060
3,14:55,1,10,DAL 17,10,17,Julius Jones up the middle for no gain (tackle by John McCargo and Keith Ellison),-0.060,-0.580
3,14:18,2,10,DAL 17,10,17,Tony Romo pass complete short left to Jason Witten for 9 yards (tackle by John DiGiorgio),-0.580,-0.120
3,13:31,3,1,DAL 26,10,17,Julius Jones right guard for 2 yards (tackle by John DiGiorgio),-0.120,0.810
,,,,,,,"BUF challenged the runner was down by contact ruling, and the original play was overturned.",,
3,12:45,1,10,DAL 28,10,17,Tony Romo pass incomplete deep right intended for Terrell Owens (defended by Terrence McGee),0.810,0.260
3,12:38,2,10,DAL 28,10,17,Julius Jones right tackle for 8 yards (tackle by Donte Whitner and Aaron Schobel),0.260,0.630
3,11:51,3,2,DAL 36,10,17,Tony Romo pass complete short right to Patrick Crayton for 7 yards (tackle by Kiwaukee Thomas),0.630,1.800
3,11:30,1,10,DAL 43,10,17,Tony Romo pass complete short right to Jason Witten for 12 yards (tackle by John DiGiorgio),1.800,2.590
3,11:01,1,10,BUF 45,10,17,Julius Jones left tackle for 2 yards (tackle by Jabari Greer),2.590,2.310
3,10:28,2,8,BUF 43,10,17,Tony Romo pass incomplete short left intended for Terrell Owens,2.310,1.620
3,10:25,3,8,BUF 43,10,17,Tony Romo pass complete short right to Patrick Crayton for 31 yards (tackle by George Wilson),1.620,4.780
3,9:57,1,10,BUF 12,10,17,Julius Jones right tackle for 1 yard (tackle by Chris Kelsay),4.780,4.270
3,9:15,2,9,BUF 11,10,17,Tony Romo pass incomplete short right intended for Sam Hurd (defended by Terrence McGee),4.270,3.290
3,9:09,3,9,BUF 11,10,17,Tony Romo pass incomplete short middle intended for Jason Witten (defended by John DiGiorgio),3.290,2.700
3,9:05,4,9,BUF 11,13,17,Nick Folk 29 yard field goal good,2.700,3.000
3,,,,DAL 30,13,23,"Nick Folk kicks off 73 yards, returned by Terrence McGee for 103 yards, touchdown",0.000,7.000
3,,,,DAL 2,13,24,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,13,24,"Rian Lindell kicks off 69 yards, returned by Tyson Thompson for 25 yards (tackle by Mario Haggan)",0.000,0.670
3,8:43,1,10,DAL 26,13,24,"Tony Romo pass complete short right to Anthony Fasano for 2 yards (tackle by Jerametrius Butler). Penalty on Jerametrius Butler: Face Mask (15 Yards), 15 yards",0.670,1.800
3,8:23,1,10,DAL 43,13,24,Marion Barber right tackle for 2 yards (tackle by John DiGiorgio),1.800,1.520
3,7:43,2,8,DAL 45,13,24,Tony Romo pass incomplete deep left intended for Terrell Owens,1.520,0.830
3,7:36,3,8,DAL 45,13,24,Tony Romo pass incomplete deep right intended for Terrell Owens,0.830,-0.390
3,7:31,4,8,DAL 45,13,24,"Mat McBriar punts 55 yards, touchback",-0.390,-0.280
3,7:22,1,10,BUF 20,13,24,Trent Edwards pass complete short right to Josh Reed for 11 yards (tackle by Jacques Reeves),0.280,1.000
3,6:44,1,10,BUF 31,13,24,Marshawn Lynch up the middle for 1 yard (tackle by Roy Williams and Akin Ayodele),1.000,0.600
3,6:08,2,9,BUF 32,13,24,Trent Edwards pass incomplete short middle intended for Marshawn Lynch (defended by Akin Ayodele),0.600,-0.100
3,6:03,3,9,BUF 32,13,24,Trent Edwards pass complete short left to Robert Royal for 18 yards (tackle by Ken Hamlin),-0.100,2.260
3,5:13,1,10,,13,24,Marshawn Lynch up the middle for no gain (tackle by Anthony Spencer and Marcus R. Spears),2.260,1.710
3,4:28,2,10,,13,24,Trent Edwards pass complete short left to Roscoe Parrish for 8 yards (tackle by Greg Ellis),1.710,2.080
3,4:00,3,2,DAL 42,13,24,Roscoe Parrish left end for -3 yards (tackle by Jacques Reeves). Penalty on Robert Royal: Offensive Holding (Declined),2.080,0.270
3,3:41,4,5,DAL 45,13,24,Brian Moorman punts 36 yards,0.270,0.380
3,3:33,1,10,DAL 9,13,24,Tony Romo pass complete short left to Terrell Owens for 11 yards (tackle by Jabari Greer),-0.380,0.280
3,3:11,1,10,DAL 20,13,24,"Tony Romo up the middle for 5 yards (tackle by Chris Kelsay). Penalty on Chris Kelsay: Unnecessary Roughness, 15 yards",0.280,1.600
3,2:54,1,10,DAL 40,13,24,Marion Barber right end for 2 yards (tackle by John DiGiorgio),1.600,1.320
3,2:20,2,8,DAL 42,13,24,Tony Romo pass complete short middle to Marion Barber for 13 yards (tackle by Jabari Greer),1.320,2.590
3,1:40,1,10,BUF 45,13,24,Tony Romo pass incomplete deep left intended for Patrick Crayton,2.590,2.040
3,1:35,2,10,BUF 45,13,24,Marion Barber up the middle for 9 yards (tackle by John DiGiorgio),2.040,2.540
3,0:55,3,1,BUF 36,13,24,Tony Romo pass complete short left to Deon Anderson for 17 yards (tackle by George Wilson),2.540,4.310
3,0:13,1,10,BUF 19,13,24,Tony Romo pass incomplete short left intended for Patrick Crayton (defended by Angelo Crowell),4.310,3.750
3,0:06,2,10,BUF 19,13,24,Marion Barber right guard for 1 yard (tackle by Donte Whitner and Terrence McGee),3.750,3.140
Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,BUF 18,13,24,Tony Romo pass incomplete short left intended for Jason Witten (defended by Kiwaukee Thomas),3.140,2.250
4,14:51,4,9,BUF 18,16,24,Nick Folk 37 yard field goal good,2.250,3.000
4,,,,DAL 30,16,24,"Nick Folk kicks off 65 yards, returned by Roscoe Parrish for 21 yards (tackle by Miles Austin)",0.000,0.670
4,14:41,1,10,BUF 26,16,24,Trent Edwards pass complete short middle to Josh Reed for 9 yards (tackle by Jacques Reeves),0.670,1.350
4,14:04,2,1,BUF 35,16,24,Marshawn Lynch right guard for 6 yards (tackle by Jay Ratliff),1.350,1.660
4,13:25,1,10,BUF 41,16,24,Trent Edwards sacked by Jason Hatcher for -10 yards,1.660,-0.230
4,12:48,2,20,BUF 31,16,24,"Trent Edwards sacked by DeMarcus Ware for -8 yards. Trent Edwards fumbles (forced by DeMarcus Ware), recovered by Trent Edwards at BUF-22",-0.230,-2.080
4,12:04,3,29,BUF 22,16,24,Trent Edwards pass complete short right to Anthony Thomas for 8 yards (tackle by Bradie James),-2.080,-1.370
4,11:30,4,21,BUF 30,16,24,"Brian Moorman punts 52 yards, returned by Patrick Crayton for 9 yards (tackle by Ryan Neill)",-1.370,-0.740
4,11:18,1,10,DAL 27,16,24,Tony Romo pass complete short right to Deon Anderson for 15 yards (tackle by Keith Ellison),0.740,1.730
4,10:42,1,10,DAL 42,16,24,Tony Romo pass complete short left to Deon Anderson for 4 yards (tackle by Angelo Crowell),1.730,1.730
4,9:58,2,6,DAL 46,16,24,"Tony Romo up the middle for 2 yards (tackle by Aaron Schobel). Tony Romo fumbles (forced by Aaron Schobel), recovered by Kyle Williams at DAL-48",1.730,-2.390
4,9:51,1,10,DAL 48,16,24,"Marshawn Lynch left end for 2 yards (tackle by Roy Williams). Penalty on Roy Williams: Face Mask (5 Yards), 5 yards",2.390,3.410
4,9:28,1,3,DAL 41,16,24,Trent Edwards pass complete short right to Dwayne Wright for 4 yards (tackle by Terence Newman),3.410,3.120
4,9:03,1,10,DAL 37,16,24,Dwayne Wright left guard for 2 yards (tackle by Anthony Spencer),3.120,2.840
4,8:25,2,8,DAL 35,16,24,Trent Edwards pass complete short middle to Josh Reed for 8 yards (tackle by Roy Williams),2.840,3.780
4,7:53,1,10,DAL 27,16,24,Marshawn Lynch right tackle for 14 yards (tackle by Jacques Reeves),3.780,4.710
4,7:09,1,10,DAL 13,16,24,Trent Edwards pass incomplete short right intended for Lee Evans,4.710,4.050
4,7:03,2,10,DAL 13,16,24,Marshawn Lynch up the middle for 2 yards (tackle by Anthony Spencer and Remi Ayodele),4.050,3.450
4,6:21,3,8,DAL 11,16,24,"Trent Edwards pass incomplete short left intended for Lee Evans is intercepted by Terence Newman at DAL-5 and returned for 70 yards (tackle by Lee Evans). Terence Newman fumbles (forced by Lee Evans), recovered by Jay Ratliff at BUF-17",3.450,-4.440
4,6:05,1,10,BUF 17,16,24,Julius Jones right guard for 1 yard (tackle by Donte Whitner),4.440,4.000
4,5:33,2,9,BUF 16,16,24,Tony Romo pass incomplete intended for Jason Witten is intercepted by John DiGiorgio at BUF-0 and returned for 38 yards (tackle by Terrell Owens),4.000,-1.470
4,5:21,1,10,BUF 38,16,24,Marshawn Lynch left end for 2 yards (tackle by Bradie James),1.470,1.190
4,4:39,2,8,BUF 40,16,24,Marshawn Lynch left tackle for 1 yard (tackle by DeMarcus Ware and Akin Ayodele),1.190,0.630
4,3:58,3,7,BUF 41,16,24,Trent Edwards pass incomplete short right intended for Josh Reed,0.630,-0.650
4,3:53,4,7,BUF 41,16,24,"Brian Moorman punts 59 yards, touchback",-0.650,-0.280
4,3:45,1,10,DAL 20,16,24,"Penalty on Marc Colombo: False Start, 5 yards (no play)",0.280,-0.310
4,3:08,1,15,DAL 15,16,24,Tony Romo pass complete short middle to Patrick Crayton for 12 yards (tackle by Jerametrius Butler),-0.310,0.680
4,2:54,2,3,DAL 27,16,24,Marion Barber right tackle for 8 yards (tackle by Terrence McGee and Donte Whitner),0.680,1.270
4,2:39,1,10,DAL 35,16,24,Tony Romo pass incomplete short right intended for Marion Barber (defended by Terrence McGee),1.270,0.720
4,2:33,2,10,DAL 35,16,24,Tony Romo pass complete short left to Jason Witten for 10 yards (tackle by Jerametrius Butler),0.720,1.930
4,2:05,1,10,DAL 45,16,24,Tony Romo pass complete short left to Marion Barber for 8 yards (tackle by Angelo Crowell),1.930,2.460
4,1:57,2,2,BUF 47,16,24,Tony Romo pass complete short right to Jason Witten for 9 yards (tackle by John DiGiorgio),2.460,3.050
4,1:29,1,10,BUF 38,16,24,Tony Romo pass complete short middle to Patrick Crayton for 11 yards (tackle by Terrence McGee),3.050,3.780
4,1:22,1,10,BUF 27,16,24,Tony Romo pass complete short left to Marion Barber for 7 yards (tackle by Jerametrius Butler),3.780,4.180
4,0:53,2,3,BUF 20,16,24,Tony Romo pass incomplete short middle intended for Jason Witten,4.180,3.470
4,0:47,3,3,BUF 20,16,24,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by Kiwaukee Thomas),3.470,4.650
4,0:40,,,,16,24,Timeout #1 by Dallas Cowboys,0.000,4.650
4,0:40,1,10,BUF 14,16,24,Tony Romo pass complete short left to Marion Barber for 10 yards (tackle by Donte Whitner),4.650,6.280
4,0:24,,,,16,24,Timeout #2 by Dallas Cowboys,0.000,0.000
4,0:24,,,,16,24,Timeout #1 by Buffalo Bills,0.000,6.280
4,0:24,1,4,BUF 4,22,24,"Tony Romo pass complete short right to Patrick Crayton for 4 yards, touchdown",6.280,7.000
4,0:20,,,,22,24,Timeout #3 by Dallas Cowboys,0.000,0.000
4,,,,,22,24,"Two Point Attempt: Tony Romo pass incomplete intended for Terrell Owens, conversion fails",1.000,-1.000
4,,,,DAL 30,22,24,"Nick Folk kicks onside 23 yards, recovered by Tony Curtis (onside kick successful)",0.000,2.460
,,,,,,,"Replay Assistant challenged the kick touched ruling, and the play was upheld.",,
4,0:18,1,10,BUF 47,22,24,Tony Romo pass incomplete deep right intended for Terrell Owens,2.460,1.910
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
4,0:13,2,10,BUF 47,22,24,Tony Romo pass complete short right to Marion Barber for 4 yards (tackle by Terrence McGee),1.910,1.750
4,0:07,3,6,BUF 43,22,24,Tony Romo pass complete short right to Patrick Crayton for 8 yards,1.750,3.250
4,0:02,,,,22,24,Timeout #2 by Buffalo Bills,0.000,3.250
4,0:02,1,10,BUF 35,25,24,Nick Folk 53 yard field goal good. Penalty on Jabari Greer: Defensive Offside (Declined),3.250,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
