Unnamed: 0,DAL,BUF
First Downs,24,14
Rush-Yds-TDs,22-76-0,24-81-0
Cmp-Att-Yd-TD-INT,29-50-309-2-5,23-31-176-0-1
Sacked-Yards,0-0,3-28
Net Pass Yards,309,148
Total Yards,385,229
Fumbles-Lost,2-1,1-0
Turnovers,6,1
Penalties-Yards,5-31,5-49
Third Down Conv.,9-15,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,27:29,32:31
