Quarter,Time,Tm,Detail,MIA,NWE
1.0,3:00,Dolphins,Jason Sanders 23 yard field goal,3,0
2.0,9:39,Dolphins,Raheem Mostert 8 yard rush (Jason Sanders kick),10,0
,1:49,Patriots,Chad Ryland 49 yard field goal,10,3
,0:11,Dolphins,Tyreek Hill 2 yard pass from Tua Tagovailoa (Jason Sanders kick),17,3
4.0,11:21,Patriots,Hunter Henry 6 yard pass from Mac Jones (Chad Ryland kick),17,10
,8:45,Dolphins,Raheem Mostert 43 yard rush (Jason Sanders kick),24,10
,5:25,Patriots,Rhamondre Stevenson 2 yard rush (Chad Ryland kick),24,17
