Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyreek Hill,MIA,9,5,40,1,5,30,6.0,10,2.0,14.1,1,5.0,1,11.1,1,64.4
Jaylen Waddle,MIA,6,4,86,0,4,39,9.8,47,11.8,12.0,0,,1,16.7,0,109.7
Salvon Ahmed,MIA,3,3,28,0,1,-6,-2.0,34,11.3,-2.0,0,,0,0.0,0,105.6
Durham Smythe,MIA,3,3,23,0,1,19,6.3,4,1.3,6.3,0,,0,0.0,0,98.6
River Cracraft,MIA,2,2,34,0,2,20,10.0,14,7.0,10.0,0,,0,0.0,0,118.7
Braxton Berrios,MIA,3,2,28,0,2,19,9.5,9,4.5,10.3,0,,1,33.3,0,96.5
Raheem Mostert,MIA,1,1,6,0,0,-4,-4.0,10,10.0,-4.0,0,,0,0.0,0,91.7
De'Von Achane,MIA,1,1,4,0,,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3
Erik Ezukanma,MIA,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hunter Henry,NWE,7,6,52,1,2,46,7.7,6,1.0,8.4,0,,0,0.0,0,137.2
DeVante Parker,NWE,8,6,57,0,3,22,3.7,35,5.8,6.5,2,3.0,0,0.0,1,54.7
Mike Gesicki,NWE,6,5,33,0,,24,4.8,9,1.8,11.7,0,,0,0.0,0,89.6
JuJu Smith-Schuster,NWE,6,5,28,0,2,21,4.2,7,1.4,2.8,0,,0,0.0,0,86.1
Kendrick Bourne,NWE,9,4,29,0,1,20,5.0,9,2.3,20.4,0,,0,0.0,0,52.5
Rhamondre Stevenson,NWE,3,3,10,0,1,-3,-1.0,13,4.3,-1.0,1,3.0,0,0.0,0,80.6
Demario Douglas,NWE,2,2,19,0,1,1,0.5,18,9.0,0.5,0,,0,0.0,0,106.2
Ty Montgomery,NWE,1,0,0,0,,0,,0,,-6.0,0,,0,0.0,0,39.6
