Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Shayne Graham kicks off 65 yards, returned by Brad Smith for 18 yards (tackle by Austin Spitler)",0.000,0.040
1,14:55,1,10,BUF 18,0,0,Ryan Fitzpatrick pass complete short middle to C.J. Spiller for 18 yards (tackle by Sean Smith),0.040,1.330
1,14:13,1,10,BUF 36,0,0,Fred Jackson left tackle for -3 yards (tackle by Jared Odrick and Yeremiah Bell),1.330,0.390
1,13:32,2,13,BUF 33,0,0,Ryan Fitzpatrick pass complete short left to Fred Jackson for 26 yards (tackle by Sean Smith),0.390,2.850
1,12:57,1,10,MIA 41,0,0,Fred Jackson right tackle for 3 yards (tackle by Paul Soliai),2.850,2.710
1,12:18,2,7,MIA 38,0,0,Ryan Fitzpatrick pass complete short middle to Fred Jackson for 18 yards (tackle by Yeremiah Bell),2.710,4.240
1,11:40,1,10,MIA 20,0,0,Fred Jackson up the middle for 6 yards (tackle by Kevin Burnett),4.240,4.640
1,10:56,2,4,MIA 14,0,0,Fred Jackson right guard for 2 yards (tackle by Kendall Langford),4.640,4.340
1,10:23,3,2,MIA 12,0,0,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,4.340,2.760
1,10:13,4,2,MIA 12,3,0,Dave Rayner 30 yard field goal good,2.760,3.000
1,,,,BUF 35,3,0,"Dave Rayner kicks off 60 yards, returned by Edmond Gates for 18 yards (tackle by Ruvell Martin). Penalty on Jeron Mastrud: Offensive Holding, 10 yards",0.000,-0.320
1,10:13,1,10,MIA 13,3,0,Reggie Bush right guard for 3 yards (tackle by Da'Norris Searcy),-0.320,-0.440
1,9:27,2,7,MIA 16,3,0,Matt Moore pass complete short right to Charles Clay for 10 yards (tackle by Nick Barnett). Penalty on Kelvin Sheppard: Illegal Contact (Declined),-0.440,0.670
1,8:58,1,10,MIA 26,3,0,Reggie Bush left tackle for 3 yards (tackle by Kelvin Sheppard),0.670,0.540
1,8:17,2,7,MIA 29,3,0,Matt Moore pass complete short right to Reggie Bush for 19 yards (tackle by Kelvin Sheppard),0.540,2.130
1,7:50,1,10,MIA 48,3,0,Daniel Thomas up the middle for 2 yards (tackle by Torell Troup),2.130,1.850
1,7:12,2,8,BUF 50,3,0,Matt Moore pass complete short middle to Davone Bess for 21 yards (tackle by Bryan Scott),1.850,3.640
1,6:25,1,10,BUF 29,3,0,Reggie Bush left end for -2 yards (tackle by Kelvin Sheppard and Da'Norris Searcy),3.640,2.830
1,5:47,,,,3,0,Timeout #1 by Miami Dolphins,0.000,2.830
1,5:45,2,12,BUF 31,3,0,Matt Moore pass incomplete short right intended for Daniel Thomas,2.830,2.150
1,5:42,3,12,BUF 31,3,0,Matt Moore pass complete short left to Brian Hartline for 19 yards (tackle by Jairus Byrd),2.150,4.780
1,4:59,1,10,BUF 12,3,0,Reggie Bush right tackle for 2 yards (tackle by Da'Norris Searcy),4.780,4.450
1,4:19,2,8,BUF 10,3,0,Brian Hartline left end for 9 yards (tackle by Kellen Heard),4.450,6.970
1,3:33,1,1,BUF 1,3,6,"Matt Moore pass complete short right to Anthony Fasano for 1 yard, touchdown",6.970,7.000
1,,,,BUF 2,3,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,MIA 35,3,7,"Shayne Graham kicks off 67 yards, returned by Brad Smith for 19 yards (tackle by Julius Pruitt)",0.000,-0.060
1,3:23,1,10,BUF 17,3,7,Ryan Fitzpatrick pass incomplete short right intended for C.J. Spiller,-0.060,-0.580
1,3:19,2,10,BUF 17,3,7,Ryan Fitzpatrick pass incomplete short right intended for C.J. Spiller,-0.580,-1.250
1,3:11,3,10,BUF 17,3,7,Ryan Fitzpatrick left end for 8 yards (tackle by Karlos Dansby),-1.250,-1.700
1,2:48,4,2,BUF 25,3,7,"Brian Moorman punts 40 yards, muffed catch by Davone Bess, recovered by Davone Bess and returned for 3 yards (tackle by Scott Chandler)",-1.700,-1.660
1,2:38,1,10,MIA 41,3,7,Reggie Bush up the middle for 2 yards (tackle by Spencer Johnson),1.660,1.390
1,2:00,2,8,MIA 43,3,7,Matt Moore pass complete deep left to Charles Clay for 46 yards (tackle by Jairus Byrd),1.390,4.840
1,1:11,1,10,BUF 11,3,7,Reggie Bush right end for 6 yards (tackle by Da'Norris Searcy),4.840,5.280
1,1:03,2,4,BUF 5,3,13,"Reggie Bush left tackle for 5 yards, touchdown",5.280,7.000
1,,,,BUF 2,3,14,Shayne Graham kicks extra point good,0.000,0.000
