Unnamed: 0,CAR,ATL
First Downs,15,8
Rush-Yds-TDs,52-183-0,19-83-0
Cmp-Att-Yd-TD-INT,4-7-32-1-0,9-20-109-0-2
Sacked-Yards,3-21,3-15
Net Pass Yards,11,94
Total Yards,194,177
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,8-62,4-35
Third Down Conv.,8-16,3-10
Fourth Down Conv.,0-0,0-1
Time of Possession,41:47,18:13
