Quarter,Time,Tm,Detail,CAR,ATL
1.0,10:32,Falcons,Morten Andersen 40 yard field goal,0,3
2.0,14:56,Panthers,Jeff King 1 yard pass from Chris Weinke (John Kasay kick),7,3
,1:51,Panthers,John Kasay 42 yard field goal,10,3
