Quarter,Time,Tm,Detail,HOU,TEN
1.0,2:45,Titans,Derrick Mason 13 yard pass from Steve McNair (Joe Nedney kick),0,7
2.0,7:02,Titans,Joe Nedney 24 yard field goal,0,10
,1:06,Texans,Kris Brown 51 yard field goal,3,10
3.0,10:50,Titans,Shad Meier 17 yard pass from Steve McNair (Joe Nedney kick),3,17
4.0,3:05,Texans,Jarrod Baxter 10 yard pass from David Carr (Kris Brown kick),10,17
