Quarter,Time,Tm,Detail,BUF,JAX
1.0,7:26,Bills,Dan Carpenter 31 yard field goal,3,0
2.0,14:05,Jaguars,Allen Robinson 10 yard pass from Blake Bortles (Jason Myers kick),3,7
,12:21,Jaguars,Chris Clemons 6 yard defensive fumble return (Jason Myers kick),3,14
,12:14,Jaguars,Telvin Smith 26 yard interception return (Jason Myers kick),3,21
,8:25,Jaguars,T.J. Yeldon 28 yard rush (Jason Myers kick failed),3,27
,2:46,Bills,Robert Woods 16 yard pass from EJ Manuel (Dan Carpenter kick),10,27
,0:08,Bills,Dan Carpenter 38 yard field goal,13,27
4.0,14:50,Bills,Dan Carpenter 26 yard field goal,16,27
,6:33,Bills,Marcus Easley 58 yard pass from EJ Manuel (LeSean McCoy run),24,27
,5:21,Bills,Corey Graham 44 yard interception return (Dan Carpenter kick),31,27
,2:16,Jaguars,Allen Hurns 31 yard pass from Blake Bortles (Jason Myers kick),31,34
