Unnamed: 0,TAM,SFO
First Downs,18,24
Rush-Yds-TDs,19-69-0,36-209-3
Cmp-Att-Yd-TD-INT,34-55-253-1-2,17-23-195-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,253,195
Total Yards,322,404
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,8-62,2-15
Third Down Conv.,4-16,4-9
Fourth Down Conv.,4-7,1-2
Time of Possession,27:20,32:40
