Unnamed: 0,NOR,CAR
First Downs,21,20
Rush-Yds-TDs,33-101-2,25-141-1
Cmp-Att-Yd-TD-INT,18-24-192-0-0,19-31-212-1-2
Sacked-Yards,1-2,1-3
Net Pass Yards,190,209
Total Yards,291,350
Fumbles-Lost,3-2,3-2
Turnovers,2,4
Penalties-Yards,9-74,11-84
Third Down Conv.,8-13,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:36,27:24
