#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 20,10,4:42,49,Downs
2,1,6:20,DET 20,3,1:03,2,Punt
3,1,3:58,DET 33,10,4:53,50,Field Goal
4,2,12:41,PIT 45,1,0:10,6,Fumble
5,2,10:31,DET 21,1,0:18,79,Touchdown
6,2,7:19,DET 26,5,3:27,74,Touchdown
7,2,2:31,DET 38,5,0:49,62,Touchdown
8,2,1:02,DET 49,10,0:58,50,Field Goal
9,3,13:22,DET 12,3,0:59,2,Punt
10,3,12:00,DET 12,3,1:35,-10,Punt
11,3,5:14,DET 20,13,7:25,73,Fumble
12,4,4:46,DET 20,3,0:35,0,Interception
13,4,2:29,DET 20,8,0:50,2,Downs
