Unnamed: 0,DET,PIT
First Downs,21,24
Rush-Yds-TDs,25-107-1,27-40-0
Cmp-Att-Yd-TD-INT,19-46-362-2-1,29-45-367-4-0
Sacked-Yards,2-18,1-9
Net Pass Yards,344,358
Total Yards,451,398
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,8-45,4-23
Third Down Conv.,6-16,6-16
Fourth Down Conv.,1-4,1-1
Time of Possession,27:44,32:16
