Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
1,6:41,4,6,CLE 36,0,3,Aldrick Rosas 54 yard field goal good,0.880,3.000
1,6:35,,,JAX 35,0,3,"Logan Cooke kicks off 63 yards, returned by D'Ernest Johnson for 43 yards (tackle by Doug Middleton and Eric Saubert)",0.000,1.930
1,6:26,1,10,CLE 45,0,3,Baker Mayfield pass complete short left to Jarvis Landry for 21 yards (tackle by Joe Schobert),1.930,3.310
1,5:50,1,10,JAX 34,0,3,Baker Mayfield pass complete short right to Nick Chubb for 14 yards (tackle by Jarrod Wilson and Myles Jack),3.310,4.240
1,5:02,1,10,JAX 20,0,3,Baker Mayfield pass complete short left to Stephen Carlson for 11 yards (tackle by Jarrod Wilson),4.240,5.140
1,4:25,1,9,JAX 9,0,3,Nick Chubb up the middle for 4 yards (tackle by Adam Gotsis and Joe Schobert),5.140,5.150
1,3:47,2,5,JAX 5,6,3,"Baker Mayfield pass complete short left to Jarvis Landry for 5 yards, touchdown",5.150,7.000
1,3:40,,,JAX 15,7,3,Cody Parkey kicks extra point good,0.000,0.000
1,3:40,,,CLE 35,7,3,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,3:40,1,10,JAX 25,7,3,James Robinson up the middle for 15 yards (tackle by Karl Joseph),0.610,1.600
1,3:07,1,10,JAX 40,7,3,James Robinson up the middle for 13 yards (tackle by Terrance Mitchell),1.600,2.460
1,2:31,1,10,CLE 47,7,3,James Robinson right end for 4 yards (tackle by Cameron Malveaux),2.460,2.450
1,1:47,2,6,CLE 43,7,3,Mike Glennon pass complete short middle to Collin Johnson for 13 yards (tackle by Tavierre Thomas),2.450,3.580
1,1:06,1,10,CLE 30,7,3,"Mike Glennon pass incomplete deep left intended for Keelan Cole. Penalty on Terrance Mitchell: Defensive Pass Interference, 12 yards (no play)",3.580,4.370
1,0:59,1,10,CLE 18,7,3,James Robinson up the middle for 2 yards (tackle by Malcolm Smith),4.370,4.090
1,0:18,2,8,CLE 16,7,3,Mike Glennon pass complete short right to Laviska Shenault for 7 yards (tackle by Tavierre Thomas),4.090,4.740
Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,CLE 9,7,3,James Robinson up the middle for 1 yard (tackle by B.J. Goodson),4.740,5.370
2,14:27,1,8,CLE 8,7,3,James Robinson up the middle for 2 yards (tackle by Karl Joseph),5.370,4.950
2,13:50,2,6,CLE 6,7,3,Mike Glennon pass incomplete short right intended for Collin Johnson,4.950,4.040
2,13:46,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,13:46,3,6,CLE 6,7,3,Mike Glennon pass incomplete short middle intended for Keelan Cole (defended by B.J. Goodson),4.040,2.990
2,13:41,4,6,CLE 6,7,6,Aldrick Rosas 24 yard field goal good,2.990,3.000
2,13:37,,,JAX 35,7,6,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
2,13:37,1,10,CLE 25,7,6,Nick Chubb left end for 4 yards (tackle by Myles Jack and Kamalei Correa),0.610,0.600
2,12:57,2,6,CLE 29,7,6,Nick Chubb right end for 7 yards (tackle by Aaron Lynch and Tre Herndon),0.600,1.330
2,12:12,1,10,CLE 36,7,6,Baker Mayfield pass incomplete short right intended for Taywan Taylor,1.330,0.790
2,12:06,2,10,CLE 36,7,6,Baker Mayfield sacked by Aaron Lynch for no gain,0.790,0.100
2,11:24,3,10,CLE 36,7,6,Baker Mayfield pass complete short middle to KhaDarel Hodge for 17 yards (tackle by Josiah Scott),0.100,2.460
2,10:43,1,10,JAX 47,7,6,Nick Chubb right end for 4 yards (tackle by Adam Gotsis),2.460,2.450
2,10:01,2,6,JAX 43,7,6,Baker Mayfield pass complete deep middle to Jarvis Landry for 27 yards (tackle by Josiah Scott),2.450,4.510
2,9:33,1,10,JAX 16,7,6,Nick Chubb left end for 7 yards (tackle by Joe Schobert),4.510,5.160
2,8:46,2,3,JAX 9,7,6,Baker Mayfield pass incomplete short left intended for Jarvis Landry,5.160,4.390
2,8:40,3,3,JAX 9,7,6,Baker Mayfield pass complete short right to KhaDarel Hodge for 4 yards (tackle by Tre Herndon and Jarrod Wilson),4.390,6.060
2,7:53,1,5,JAX 5,7,6,Baker Mayfield pass incomplete short middle intended for Rashard Higgins,6.060,5.150
2,7:48,2,5,JAX 5,7,6,Kareem Hunt right end for -1 yards (tackle by Luq Barcoo),5.150,4.040
2,7:11,3,6,JAX 6,7,6,Baker Mayfield pass incomplete short left intended for Jarvis Landry,4.040,2.990
2,7:07,4,6,JAX 6,10,6,Cody Parkey 24 yard field goal good,2.990,3.000
2,7:03,,,CLE 35,10,6,"Cody Parkey kicks off 60 yards, returned by Nathan Cottrell for 18 yards (tackle by Stephen Carlson)",0.000,0.480
2,6:57,1,10,JAX 23,10,6,Mike Glennon pass complete short right to Keelan Cole for 20 yards (tackle by Kevin Johnson),0.480,1.800
2,6:18,1,10,JAX 43,10,6,James Robinson left end for 3 yards (tackle by Larry Ogunjobi),1.800,1.660
2,5:36,2,7,JAX 46,10,6,Laviska Shenault left end for 6 yards (tackle by Jacob Phillips),1.660,1.750
2,4:59,3,1,CLE 48,10,6,Mike Glennon up the middle for 2 yards (tackle by Jordan Elliott),1.750,2.520
2,4:25,1,10,CLE 46,10,12,"Mike Glennon pass complete deep left to Collin Johnson for 46 yards, touchdown",2.520,7.000
2,4:14,,,CLE 15,10,13,Aldrick Rosas kicks extra point good,0.000,0.000
2,4:14,,,JAX 35,10,13,"Logan Cooke kicks off 67 yards, returned by D'Ernest Johnson for 18 yards (tackle by Doug Middleton)",0.000,-0.140
2,4:08,1,10,CLE 16,10,13,"Baker Mayfield pass incomplete deep right intended for Harrison Bryant. Penalty on Aaron Lynch: Defensive Offside, 5 yards (no play)",-0.140,0.740
2,4:03,1,5,CLE 21,10,13,Nick Chubb up the middle for 6 yards (tackle by Josiah Scott),0.740,0.740
2,3:21,1,10,CLE 27,10,13,Nick Chubb up the middle for 9 yards (tackle by Joe Schobert),0.740,1.410
2,2:40,2,1,CLE 36,10,13,Baker Mayfield pass complete deep left to Jarvis Landry for 23 yards (tackle by Jarrod Wilson). Penalty on Jarrod Wilson: Defensive Pass Interference (Declined),1.410,2.850
2,2:10,1,10,JAX 41,10,13,Kareem Hunt up the middle for 4 yards (tackle by Adam Gotsis and Myles Jack),2.850,2.850
2,2:00,2,6,JAX 37,10,13,Baker Mayfield pass incomplete short right intended for Jarvis Landry,2.850,2.150
2,1:55,3,6,JAX 37,10,13,Baker Mayfield pass complete short middle to Jarvis Landry for 15 yards (tackle by Josiah Scott),2.150,4.110
2,1:22,1,10,JAX 22,10,13,Kareem Hunt up the middle for 13 yards (tackle by Myles Jack),4.110,5.140
2,1:16,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,1:16,1,9,JAX 9,16,13,"Baker Mayfield pass complete short left to Austin Hooper for 9 yards, touchdown",5.140,7.000
2,1:10,,,JAX 15,17,13,Cody Parkey kicks extra point good,0.000,0.000
2,1:10,,,CLE 35,17,13,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,1:10,1,10,JAX 25,17,13,Mike Glennon pass complete deep right to Keelan Cole for 18 yards (tackle by Kevin Johnson),0.610,1.800
2,0:43,1,10,JAX 43,17,13,Mike Glennon pass complete short left to James Robinson for 6 yards (tackle by Terrance Mitchell),1.800,2.060
2,0:36,2,4,JAX 49,17,13,Mike Glennon pass incomplete deep left intended for Keelan Cole,2.060,1.350
2,0:30,3,4,JAX 49,17,13,Mike Glennon pass complete short left to Tyler Eifert for 6 yards (tackle by Malcolm Smith),1.350,2.590
2,0:24,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:24,1,10,CLE 45,17,13,Mike Glennon pass incomplete short middle intended for James Robinson (defended by Adrian Clayborn),2.590,2.040
2,0:20,2,10,CLE 45,17,13,Mike Glennon pass complete short right to James Robinson for 9 yards (tackle by Malcolm Smith),2.040,2.540
2,0:05,3,1,CLE 36,17,13,Mike Glennon spiked the ball,2.540,0.890
2,0:04,4,1,CLE 36,17,13,Aldrick Rosas 54 yard field goal no good,0.890,1.800
Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,17,13,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CLE 25,17,13,"Baker Mayfield pass complete short right to Harrison Bryant for 13 yards (tackle by Joe Schobert). Harrison Bryant fumbles (forced by Joe Schobert), recovered by Andrew Wingard at CLE-47 and returned for 17 yards (tackle by Rashard Higgins)",0.610,-3.580
3,14:48,1,10,CLE 30,17,13,"James Robinson up the middle for 3 yards (tackle by Olivier Vernon). James Robinson fumbles (forced by Olivier Vernon), recovered by James Robinson at CLE-27",3.580,3.440
3,14:16,2,7,CLE 27,17,13,James Robinson up the middle for 2 yards (tackle by Sheldon Richardson),3.440,3.010
3,13:46,3,5,CLE 25,17,13,Mike Glennon up the middle for 4 yards (tackle by B.J. Goodson),3.010,2.210
3,12:51,4,1,CLE 21,17,13,Mike Glennon pass complete short right to James Robinson for 14 yards (tackle by Malcolm Smith),2.210,5.600
3,12:22,1,7,CLE 7,17,13,James Robinson up the middle for 5 yards (tackle by Cameron Malveaux),5.600,5.720
3,11:47,2,2,CLE 2,17,19,"Mike Glennon pass complete short right to Tyler Eifert for 2 yards, touchdown",5.720,7.000
3,11:41,,,CLE 15,17,19,"Aldrick Rosas kicks extra point good. Penalty on Olivier Vernon: Defensive Offside, 1 yard (no play)",0.000,1.000
3,11:41,,,CLE 1,17,19,"Two Point Attempt: Mike Glennon pass incomplete intended for Keelan Cole, conversion fails",1.000,-1.000
3,11:41,,,JAX 35,17,19,"Logan Cooke kicks off 61 yards, returned by D'Ernest Johnson for 32 yards (tackle by Devine Ozigbo)",0.000,1.330
3,11:31,1,10,CLE 36,17,19,Baker Mayfield pass complete short right to Austin Hooper for 4 yards (tackle by Doug Costin),1.330,1.330
3,10:59,2,6,CLE 40,17,19,Nick Chubb left end for 7 yards (tackle by Myles Jack and Doug Costin),1.330,2.060
3,10:24,1,10,CLE 47,17,19,"Baker Mayfield pass incomplete short right. Penalty on Baker Mayfield: Intentional Grounding, 11 yards",2.060,0.030
3,10:18,2,21,CLE 36,17,19,Baker Mayfield pass complete short left to Nick Chubb for 5 yards (tackle by Tre Herndon),0.030,0.040
3,9:36,3,16,CLE 41,17,19,Baker Mayfield pass complete short middle to Rashard Higgins for 15 yards (tackle by Tre Herndon),0.040,0.330
3,8:56,4,1,JAX 44,17,19,Baker Mayfield pass complete short left to KhaDarel Hodge for 10 yards,0.330,3.310
3,8:20,1,10,JAX 34,17,19,Nick Chubb right end for 6 yards (tackle by Taven Bryan),3.310,3.580
3,7:42,2,4,JAX 28,17,19,Nick Chubb up the middle for 2 yards (tackle by Myles Jack and Taven Bryan),3.580,3.140
3,6:57,3,2,JAX 26,17,19,Baker Mayfield pass incomplete deep left intended for Kareem Hunt,3.140,1.860
3,6:50,4,2,JAX 26,20,19,Cody Parkey 45 yard field goal good,1.860,3.000
3,6:45,,,CLE 35,20,19,"Cody Parkey kicks off 61 yards, returned by Nathan Cottrell for 16 yards (tackle by M.J. Stewart)",0.000,0.280
3,6:40,1,10,JAX 20,20,19,James Robinson up the middle for 2 yards (tackle by Mack Wilson),0.280,0.000
3,6:03,2,8,JAX 22,20,19,Mike Glennon pass complete short right to Keelan Cole for 6 yards (tackle by Terrance Mitchell),0.000,0.100
3,5:20,3,2,JAX 28,20,19,Mike Glennon pass complete deep right to Collin Johnson for 20 yards (tackle by B.J. Goodson),0.100,2.130
3,4:41,1,10,JAX 48,20,19,James Robinson right guard for 2 yards (tackle by B.J. Goodson),2.130,1.850
3,4:03,2,8,JAX 50,20,19,Mike Glennon pass complete short left to James Robinson for 4 yards (tackle by Karl Joseph),1.850,1.680
3,3:24,3,4,CLE 46,20,19,Mike Glennon pass incomplete short left intended for Collin Johnson,1.680,0.200
3,3:19,4,4,CLE 46,20,19,"Logan Cooke punts 40 yards, returned by Donovan Peoples-Jones for 4 yards (tackle by Nathan Cottrell)",0.200,0.380
3,3:10,1,10,CLE 10,20,19,Nick Chubb up the middle for 13 yards (tackle by Joe Schobert),-0.380,0.480
3,2:30,1,10,CLE 23,20,19,Nick Chubb left end for 29 yards (tackle by Jarrod Wilson),0.480,2.390
3,1:43,1,10,JAX 48,20,19,Baker Mayfield pass incomplete short left,2.390,1.850
3,1:35,2,10,JAX 48,20,19,Baker Mayfield pass complete short right to Jarvis Landry for 14 yards (tackle by Luq Barcoo),1.850,3.310
3,0:48,1,10,JAX 34,20,19,Kareem Hunt left end for 27 yards (tackle by Jarrod Wilson),3.310,5.600
3,0:01,1,7,JAX 7,20,19,"Penalty on Aaron Lynch: Neutral Zone Infraction, 4 yards (no play)",5.600,6.510
Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,3,JAX 3,20,19,Nick Chubb up the middle for 2 yards (tackle by DaVon Hamilton),6.510,5.910
4,14:27,2,1,JAX 1,20,19,Baker Mayfield pass incomplete short middle intended for Harrison Bryant (defended by Andrew Wingard),5.910,5.170
4,14:20,3,1,JAX 1,26,19,"Nick Chubb right end for 1 yard, touchdown",5.170,7.000
4,14:13,,,JAX 15,27,19,Cody Parkey kicks extra point good,0.000,0.000
4,14:13,,,CLE 35,27,19,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
4,14:13,1,10,JAX 25,27,19,Mike Glennon pass complete short right to Laviska Shenault for 13 yards (tackle by Terrance Mitchell),0.610,1.470
4,13:34,1,10,JAX 38,27,19,James Robinson up the middle for 11 yards (tackle by Jordan Elliott),1.470,2.190
4,12:56,1,10,JAX 49,27,19,James Robinson up the middle for 3 yards (tackle by Larry Ogunjobi and Jacob Phillips),2.190,2.050
4,12:17,2,7,CLE 48,27,19,Mike Glennon pass incomplete short right intended for Laviska Shenault (defended by Sheldon Richardson),2.050,1.360
4,12:13,3,7,CLE 48,27,19,Mike Glennon pass incomplete short middle intended for Collin Johnson,1.360,0.070
4,12:09,4,7,CLE 48,27,19,Logan Cooke punts 46 yards downed by Brandon Watson,0.070,0.380
4,11:59,1,10,CLE 2,27,19,Kareem Hunt up the middle for no gain (tackle by Brandon Watson),-0.380,-0.780
4,11:23,2,10,CLE 2,27,19,"Kareem Hunt right end for 7 yards (tackle by Myles Jack and Brandon Watson). Penalty on J.C. Tretter: Offensive Holding, 1 yard (no play)",-0.780,-0.850
4,10:55,2,11,CLE 1,27,19,Baker Mayfield pass complete short middle to Jarvis Landry for 19 yards (tackle by Joe Schobert),-0.850,0.280
4,10:14,1,10,CLE 20,27,19,Kareem Hunt left end for 2 yards (tackle by Myles Jack),0.280,0.000
4,9:30,2,8,CLE 22,27,19,Baker Mayfield pass complete short middle to Jarvis Landry for 19 yards (tackle by Brandon Watson and Andrew Wingard),0.000,1.660
4,8:44,1,10,CLE 41,27,19,Nick Chubb up the middle for 7 yards (tackle by Brandon Watson),1.660,2.070
4,7:57,2,3,CLE 48,27,19,Nick Chubb up the middle for 21 yards (tackle by Andrew Wingard and Luq Barcoo),2.070,3.510
4,7:09,1,10,JAX 31,27,19,Kareem Hunt left end for 8 yards (tackle by Luq Barcoo and Joe Giles-Harris),3.510,4.050
4,6:22,2,2,JAX 23,27,19,Kareem Hunt left end for 1 yard (tackle by Andrew Wingard),4.050,3.470
4,5:48,3,1,JAX 22,27,19,Baker Mayfield pass incomplete short right intended for Kareem Hunt,3.470,2.140
4,5:42,4,1,JAX 22,27,19,Kareem Hunt up the middle for no gain (tackle by Adam Gotsis),2.140,-0.410
4,5:29,1,10,JAX 22,27,19,Mike Glennon pass incomplete deep middle intended for Collin Johnson,0.410,-0.130
4,5:23,2,10,JAX 22,27,19,Mike Glennon pass complete short middle to James O'Shaughnessy for 10 yards (tackle by Karl Joseph),-0.130,1.070
4,4:49,1,10,JAX 32,27,19,Mike Glennon pass incomplete deep left intended for James O'Shaughnessy (defended by Mack Wilson),1.070,0.530
4,4:44,2,10,JAX 32,27,19,Mike Glennon pass complete short middle to Collin Johnson for 17 yards (tackle by Kevin Johnson),0.530,2.190
4,4:06,1,10,JAX 49,27,19,James Robinson up the middle for 27 yards (tackle by Terrance Mitchell),2.190,3.970
4,3:57,1,10,CLE 24,27,19,Mike Glennon pass incomplete deep middle intended for Tyler Eifert,3.970,3.430
4,3:51,2,10,CLE 24,27,19,Mike Glennon pass incomplete short middle,3.430,2.740
4,3:48,3,10,CLE 24,27,19,Mike Glennon pass incomplete deep middle intended for James O'Shaughnessy,2.740,1.870
4,3:43,,,,,,Timeout #2 by Cleveland Browns,,
4,3:43,4,10,CLE 24,27,19,"Mike Glennon sacked by and Olivier Vernon for no gain and Adrian Clayborn for no gain. Penalty on Olivier Vernon: Lowering the Head to Initiate Contact, 12 yards (no play)",1.870,4.780
4,3:37,1,10,CLE 12,27,19,Mike Glennon pass complete short middle to James O'Shaughnessy for 7 yards (tackle by Andrew Sendejo and Karl Joseph),4.780,5.410
4,2:57,2,3,CLE 5,27,19,"Penalty on A.J. Cann: False Start, 5 yards (no play)",5.410,4.450
4,2:56,2,8,CLE 10,27,19,James Robinson up the middle for 6 yards (tackle by Mack Wilson),4.450,4.840
4,2:22,3,2,CLE 4,27,25,"James Robinson up the middle for 4 yards, touchdown",4.840,7.000
4,2:14,,,CLE 2,27,25,"Two Point Attempt: Mike Glennon pass incomplete intended for Collin Johnson, conversion fails",1.000,-1.000
4,2:14,,,JAX 35,27,25,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
4,2:14,1,10,CLE 25,27,25,Nick Chubb right end for 12 yards (tackle by Joe Giles-Harris),0.610,1.400
4,2:00,1,10,CLE 37,27,25,Nick Chubb right end for 4 yards (tackle by Adam Gotsis),1.400,1.400
4,1:55,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,1:55,2,6,CLE 41,27,25,Baker Mayfield left end for 4 yards (tackle by Brandon Watson),1.400,1.220
4,1:43,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:43,3,2,CLE 45,27,25,"Nick Chubb right end for 3 yards (tackle by Myles Jack). Penalty on J.C. Tretter: Offensive Holding, 10 yards (no play)",1.220,-0.100
4,1:37,3,12,CLE 35,27,25,Baker Mayfield pass complete short left to Nick Chubb for 13 yards (tackle by Joe Schobert),-0.100,2.130
4,1:25,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:25,1,10,CLE 48,27,25,Baker Mayfield kneels for -1 yards,2.130,1.450
4,0:43,2,11,CLE 47,27,25,Baker Mayfield kneels for -1 yards,1.450,0.630
4,0:26,3,12,CLE 46,27,25,Baker Mayfield kneels for -1 yards,0.630,-0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
