Unnamed: 0,CLE,JAX
First Downs,25,22
Rush-Yds-TDs,33-207-1,25-140-1
Cmp-Att-Yd-TD-INT,19-29-258-2-0,20-35-235-2-0
Sacked-Yards,2-6,0-0
Net Pass Yards,252,235
Total Yards,459,375
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,6-47,5-24
Third Down Conv.,5-11,5-13
Fourth Down Conv.,1-2,1-1
Time of Possession,32:41,27:19
