Quarter,Time,Tm,Detail,CLE,JAX
1.0,6:35,Jaguars,Aldrick Rosas 54 yard field goal,0,3
,3:40,Browns,Jarvis Landry 5 yard pass from Baker Mayfield (Cody Parkey kick),7,3
2.0,13:37,Jaguars,Aldrick Rosas 24 yard field goal,7,6
,7:03,Browns,Cody Parkey 24 yard field goal,10,6
,4:14,Jaguars,Collin Johnson 46 yard pass from Mike Glennon (Aldrick Rosas kick),10,13
,1:10,Browns,Austin Hooper 9 yard pass from Baker Mayfield (Cody Parkey kick),17,13
3.0,11:41,Jaguars,Tyler Eifert 2 yard pass from Mike Glennon (pass failed),17,19
,6:45,Browns,Cody Parkey 45 yard field goal,20,19
4.0,14:13,Browns,Nick Chubb 1 yard rush (Cody Parkey kick),27,19
,2:14,Jaguars,James Robinson 4 yard rush (pass failed),27,25
