Unnamed: 0,SEA,GNB
First Downs,21,21
Rush-Yds-TDs,25-119-0,29-127-0
Cmp-Att-Yd-TD-INT,19-30-206-2-1,25-33-249-2-0
Sacked-Yards,2-1,2-15
Net Pass Yards,205,234
Total Yards,324,361
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,6-92,6-35
Third Down Conv.,3-9,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:42,33:18
