Quarter,Time,Tm,Detail,SEA,GNB
1.0,10:45,Packers,James Jones 29 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,6:52,Packers,Mason Crosby 54 yard field goal,0,10
,3:13,Seahawks,Stephen Hauschka 54 yard field goal,3,10
2.0,0:02,Packers,Mason Crosby 18 yard field goal,3,13
3.0,9:57,Seahawks,Fred Jackson 5 yard pass from Russell Wilson (Stephen Hauschka kick),10,13
,6:48,Seahawks,Doug Baldwin 13 yard pass from Russell Wilson (Stephen Hauschka kick),17,13
,3:12,Packers,Mason Crosby 44 yard field goal,17,16
4.0,9:28,Packers,Richard Rodgers 5 yard pass from Aaron Rodgers (Richard Rodgers pass from Aaron Rodgers),17,24
,1:56,Packers,Mason Crosby 21 yard field goal,17,27
