Quarter,Time,Tm,Detail,PHI,NYG
2.0,11:31,Eagles,Alex Henery 33 yard field goal,3,0
,1:22,Eagles,Steve Smith 14 yard pass from Vince Young (Alex Henery kick),10,0
,0:00,Giants,Lawrence Tynes 48 yard field goal,10,3
4.0,11:36,Giants,Victor Cruz 24 yard pass from Eli Manning (Lawrence Tynes kick),10,10
,2:45,Eagles,Riley Cooper 8 yard pass from Vince Young (Alex Henery kick),17,10
