Unnamed: 0,PHI,NYG
First Downs,17,12
Rush-Yds-TDs,33-136-0,17-29-0
Cmp-Att-Yd-TD-INT,23-36-258-2-3,18-35-264-1-1
Sacked-Yards,1-3,3-15
Net Pass Yards,255,249
Total Yards,391,278
Fumbles-Lost,0-0,1-1
Turnovers,3,2
Penalties-Yards,5-30,5-39
Third Down Conv.,9-17,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,36:18,23:42
