Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Lawrence Tynes kicks off 68 yards, returned by Dion Lewis for 26 yards (tackle by Michael Clayton)",0.000,0.480
1,14:55,1,10,PHI 23,0,0,Vince Young pass incomplete short left intended for LeSean McCoy,0.480,-0.070
1,14:50,2,10,PHI 23,0,0,Vince Young pass complete short right to LeSean McCoy for no gain,-0.070,-0.760
1,14:08,3,10,PHI 23,0,0,Vince Young pass complete short middle to Brent Celek for 15 yards (tackle by Spencer Paysinger),-0.760,1.470
1,13:27,1,10,PHI 38,0,0,Vince Young pass complete short right to DeSean Jackson for 7 yards (tackle by Corey Webster),1.470,1.870
1,12:56,2,3,PHI 45,0,0,"Penalty on Todd Herremans: False Start, 5 yards (no play)",1.870,1.190
1,12:36,2,8,PHI 40,0,0,LeSean McCoy right end for 6 yards (tackle by Deon Grant and Justin Tuck),1.190,1.290
1,11:53,3,2,PHI 46,0,0,"Vince Young pass complete short right to Jason Avant for 14 yards (tackle by Aaron Ross). Penalty on Riley Cooper: Offensive Pass Interference, 10 yards (no play)",1.290,-0.030
1,11:23,3,12,PHI 36,0,0,Vince Young pass complete short right to Brent Celek for 4 yards (tackle by Spencer Paysinger and Dave Tollefson),-0.030,-0.720
1,10:51,4,8,PHI 40,0,0,"Chas Henry punts 60 yards, touchback",-0.720,-0.280
1,10:40,1,10,NYG 20,0,0,Brandon Jacobs right guard for 3 yards (tackle by Trent Cole),0.280,0.140
1,10:09,2,7,NYG 23,0,0,Eli Manning pass incomplete deep left intended for Jake Ballard,0.140,-0.560
1,9:59,3,7,NYG 23,0,0,Eli Manning pass incomplete short right intended for DJ Ware,-0.560,-1.830
1,9:54,4,7,NYG 23,0,0,"Steve Weatherford punts 61 yards, returned by DeSean Jackson for -5 yards (tackle by Tyler Sash)",-1.830,0.370
1,9:40,1,10,PHI 11,0,0,LeSean McCoy left tackle for no gain (tackle by Antrel Rolle),-0.370,-0.780
1,9:08,2,10,PHI 11,0,0,Vince Young pass incomplete deep left intended for DeSean Jackson is intercepted by Prince Amukamara at NYG-37,-0.780,-1.400
1,8:52,1,10,NYG 37,0,0,Eli Manning pass complete short middle to Victor Cruz for 18 yards (tackle by Joselio Hanson),1.400,2.590
1,8:16,1,10,PHI 45,0,0,Brandon Jacobs left guard for -2 yards (tackle by Darryl Tapp and Kurt Coleman),2.590,1.770
1,7:38,2,12,PHI 47,0,0,"Eli Manning pass incomplete short middle intended for Victor Cruz is intercepted by Jamar Chaney at PHI-42 and returned for 14 yards (tackle by Jake Ballard). Penalty on Trevor Laws: Unnecessary Roughness (Offsetting), Penalty on Chris Snee: Unnecessary Roughness (Offsetting)",1.770,-2.650
1,7:24,1,10,NYG 44,0,0,Vince Young up the middle for 5 yards (tackle by Jason Pierre-Paul),2.650,2.780
1,6:43,2,5,NYG 39,0,0,LeSean McCoy left end for 4 yards (tackle by Aaron Ross),2.780,2.610
1,6:06,3,1,NYG 35,0,0,LeSean McCoy up the middle for -3 yards (tackle by Chris L. Canty),2.610,0.720
1,5:22,4,4,NYG 38,0,0,Chas Henry punts 29 yards,0.720,0.380
1,5:11,1,10,NYG 9,0,0,Da'Rel Scott right end for 8 yards (tackle by Nnamdi Asomugha),-0.380,-0.020
1,4:36,2,2,NYG 17,0,0,Brandon Jacobs right guard for 2 yards (tackle by Jason Babin),-0.020,0.150
1,3:49,1,10,NYG 19,0,0,Brandon Jacobs up the middle for 9 yards (tackle by Jamar Chaney and Kurt Coleman),0.150,0.880
1,3:12,2,1,NYG 28,0,0,"Brandon Jacobs right guard for 2 yards (tackle by Akeem Jordan and Jamar Chaney). Penalty on William Beatty: Offensive Holding, 10 yards (no play)",0.880,-0.560
1,2:52,2,11,NYG 18,0,0,Eli Manning pass incomplete short left intended for Mario Manningham,-0.560,-1.250
1,2:44,3,11,NYG 18,0,0,"Penalty on Chris Snee: False Start, 5 yards (no play)",-1.250,-2.080
1,2:41,3,16,NYG 13,0,0,Eli Manning pass incomplete short left intended for Jake Ballard,-2.080,-2.490
1,2:36,4,16,NYG 13,0,0,"Steve Weatherford punts 59 yards, returned by Chad Hall for 9 yards (tackle by Jacquian Williams)",-2.490,-1.400
1,2:25,1,10,PHI 37,0,0,Vince Young pass incomplete short middle intended for Riley Cooper,1.400,0.860
1,2:19,2,10,PHI 37,0,0,LeSean McCoy right end for 1 yard (tackle by Prince Amukamara),0.860,0.300
1,1:51,3,9,PHI 38,0,0,Vince Young pass incomplete short middle intended for Jason Avant,0.300,-0.850
1,1:42,4,9,PHI 38,0,0,"Chas Henry punts 39 yards, fair catch by Aaron Ross",-0.850,-0.480
1,1:34,1,10,NYG 23,0,0,Eli Manning sacked by Juqua Parker and Darryl Tapp for -3 yards,0.480,-0.470
1,1:01,2,13,NYG 20,0,0,DJ Ware right tackle for 2 yards (tackle by Derek Landri and Trevor Laws),-0.470,-0.890
1,0:21,3,11,NYG 22,0,0,Eli Manning pass incomplete deep left intended for Hakeem Nicks,-0.890,-1.900
1,0:11,4,11,NYG 22,0,0,Steve Weatherford punts 56 yards (tackle by Tyler Sash),-1.900,-0.940
Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 30,0,0,Vince Young pass incomplete short left intended for Riley Cooper,0.940,0.390
2,14:55,2,10,PHI 30,0,0,LeSean McCoy left tackle for no gain (tackle by Mark Herzlich),0.390,-0.300
2,14:11,3,10,PHI 30,0,0,Vince Young pass complete deep left to DeSean Jackson for 32 yards,-0.300,3.050
