Quarter,Time,Tm,Detail,ARI,SEA
1.0,9:09,Seahawks,Rian Lindell 46 yard field goal,0,3
,3:05,Cardinals,Bill Gramatica 23 yard field goal,3,3
2.0,4:10,Seahawks,Itula Mili 1 yard pass from Trent Dilfer (Rian Lindell kick),3,10
3.0,11:59,Cardinals,Thomas Jones 58 yard rush (Bill Gramatica kick),10,10
4.0,12:52,Seahawks,Rian Lindell 19 yard field goal,10,13
,12:41,Cardinals,MarTay Jenkins 95 yard kickoff return (Bill Gramatica kick),17,13
,3:18,Cardinals,Frank Sanders 4 yard pass from Jake Plummer (Bill Gramatica kick),24,13
