Unnamed: 0,ARI,SEA
First Downs,19,26
Rush-Yds-TDs,35-249-1,29-81-0
Cmp-Att-Yd-TD-INT,10-22-107-1-1,29-47-352-1-0
Sacked-Yards,2-9,1-7
Net Pass Yards,98,345
Total Yards,347,426
Fumbles-Lost,2-0,2-1
Turnovers,1,1
Penalties-Yards,7-42,7-35
Third Down Conv.,6-13,4-13
Fourth Down Conv.,0-0,0-3
Time of Possession,29:00,31:00
