Unnamed: 0,NOR,DAL
First Downs,21,24
Rush-Yds-TDs,21-81-2,32-144-3
Cmp-Att-Yd-TD-INT,23-39-352-1-1,30-42-313-0-1
Sacked-Yards,2-19,1-0
Net Pass Yards,333,313
Total Yards,414,457
Fumbles-Lost,2-1,7-2
Turnovers,2,3
Penalties-Yards,4-30,4-19
Third Down Conv.,6-14,7-15
Fourth Down Conv.,0-1,1-3
Time of Possession,25:19,34:41
