Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DET 20,0,0,Kevin Smith right tackle for 6 yards (tackle by Desmond Bishop),0.280,0.540
1,14:35,2,4,DET 26,0,0,Matthew Stafford pass complete short middle to Kevin Smith for 14 yards (tackle by Clay Matthews),0.540,1.600
1,13:53,1,10,DET 40,0,0,Kevin Smith left tackle for 3 yards (tackle by Desmond Bishop and Charlie Peprah),1.600,1.460
1,13:14,2,7,DET 43,0,0,Matthew Stafford pass incomplete deep middle intended for Titus Young,1.460,0.760
1,13:08,3,7,DET 43,0,0,Matthew Stafford pass complete short middle to Tony Scheffler for 8 yards (tackle by Tramon Williams),0.760,2.320
1,12:31,1,10,GNB 49,0,0,"Kevin Smith up the middle for 5 yards (tackle by Morgan Burnett). Penalty on Nate Burleson: Offensive Holding, 10 yards",2.320,1.990
1,11:59,1,15,DET 46,0,0,Matthew Stafford pass incomplete short left intended for Brandon Pettigrew (defended by A.J. Hawk),1.990,1.110
1,11:51,2,15,DET 46,0,0,Matthew Stafford pass incomplete deep middle intended for Calvin Johnson,1.110,0.430
1,11:47,3,15,DET 46,0,0,"Matthew Stafford for no gain. Matthew Stafford fumbles, recovered by Nate Burleson at DET-46 and returned for 3 yards",0.430,-0.130
1,10:58,4,12,DET 49,0,0,Ben Graham punts 29 yards,-0.130,-0.410
1,10:50,1,10,GNB 22,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 15 yards (tackle by Aaron Berry),0.410,1.400
1,10:29,1,10,GNB 37,0,0,Aaron Rodgers pass complete short middle to Jermichael Finley for 12 yards (tackle by Stephen Tulloch),1.400,2.190
1,10:03,1,10,GNB 49,0,0,James Starks right tackle for 8 yards (tackle by Amari Spievey and Corey Williams),2.190,2.730
