Unnamed: 0,GNB,DET
First Downs,18,23
Rush-Yds-TDs,18-53-1,21-136-1
Cmp-Att-Yd-TD-INT,22-33-307-2-0,32-45-276-1-3
Sacked-Yards,2-11,1-3
Net Pass Yards,296,273
Total Yards,349,409
Fumbles-Lost,1-0,1-0
Turnovers,0,3
Penalties-Yards,7-54,11-82
Third Down Conv.,2-10,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:12,30:48
