Quarter,Time,Tm,Detail,GNB,DET
2.0,4:51,Packers,Greg Jennings 3 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
3.0,9:06,Packers,John Kuhn 1 yard rush (Mason Crosby kick),14,0
,5:25,Packers,James Jones 65 yard pass from Aaron Rodgers (Mason Crosby kick),21,0
,1:10,Packers,Mason Crosby 35 yard field goal,24,0
4.0,13:11,Lions,Keiland Williams 16 yard rush (Titus Young pass from Matthew Stafford),24,8
,2:43,Packers,Mason Crosby 32 yard field goal,27,8
,0:11,Lions,Calvin Johnson 3 yard pass from Matthew Stafford (Jason Hanson kick),27,15
