Quarter,Time,Tm,Detail,OAK,SDG
1.0,14:07,Chargers,Malcom Floyd 22 yard pass from Philip Rivers (Nick Novak kick),0,7
,7:27,Raiders,Sebastian Janikowski 42 yard field goal,3,7
2.0,4:12,Chargers,Nick Novak 23 yard field goal,3,10
3.0,7:19,Chargers,Nick Novak 52 yard field goal,3,13
4.0,4:06,Raiders,Sebastian Janikowski 25 yard field goal,6,13
