Quarter,Time,Tm,Detail,OAK,BAL
1.0,8:49,Ravens,Justin Tucker 48 yard field goal,0,3
,3:15,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),0,10
2.0,10:02,Raiders,Sebastian Janikowski 21 yard field goal,3,10
,7:49,Ravens,Dennis Pitta 5 yard pass from Joe Flacco (Justin Tucker kick),3,17
,3:16,Ravens,Justin Tucker 34 yard field goal,3,20
,1:37,Raiders,Darrius Heyward-Bey 55 yard pass from Carson Palmer (Sebastian Janikowski kick),10,20
,0:24,Ravens,Ray Rice 7 yard rush (Justin Tucker kick),10,27
3.0,13:42,Ravens,Torrey Smith 47 yard pass from Joe Flacco (Justin Tucker kick),10,34
,10:31,Raiders,Denarius Moore 30 yard pass from Carson Palmer (Sebastian Janikowski kick),17,34
,9:20,Ravens,Torrey Smith 20 yard pass from Joe Flacco (Justin Tucker kick),17,41
,5:40,Ravens,Sam Koch 7 yard rush (Justin Tucker kick),17,48
4.0,12:47,Raiders,Sebastian Janikowski 47 yard field goal,20,48
,12:34,Ravens,Jacoby Jones 105 yard kickoff return (Justin Tucker kick),20,55
