Unnamed: 0,OAK,BAL
First Downs,19,22
Rush-Yds-TDs,24-72-0,28-78-3
Cmp-Att-Yd-TD-INT,29-46-368-2-1,21-34-341-3-1
Sacked-Yards,3-18,0-0
Net Pass Yards,350,341
Total Yards,422,419
Fumbles-Lost,2-2,0-0
Turnovers,3,1
Penalties-Yards,10-105,4-41
Third Down Conv.,8-18,5-12
Fourth Down Conv.,0-2,1-1
Time of Possession,33:22,26:38
