Quarter,Time,Tm,Detail,SFO,PHI
1,5:24,49ers,Kevan Barlow 15 yard pass from Jeff Garcia (Todd Peterson kick),7,0
2,14:07,Eagles,Duce Staley 7 yard rush (David Akers kick),7,7
,8:08,Eagles,Duce Staley 1 yard rush (David Akers kick),7,14
,1:58,49ers,Brandon Lloyd 33 yard pass from Jeff Garcia (Todd Peterson kick),14,14
3,12:41,Eagles,Brian Westbrook 81 yard punt return (David Akers kick),14,21
,6:56,49ers,Todd Peterson 33 yard field goal,17,21
4,14:56,49ers,Todd Peterson 25 yard field goal,20,21
,5:03,49ers,Kevan Barlow 1 yard rush (Brandon Lloyd pass from Jeff Garcia),28,21
,1:02,Eagles,Todd Pinkston 19 yard pass from Donovan McNabb (David Akers kick),28,28
OT,13:55,49ers,Todd Peterson 22 yard field goal,31,28
