Unnamed: 0,ATL,TAM
First Downs,19,30
Rush-Yds-TDs,36-154-1,37-174-1
Cmp-Att-Yd-TD-INT,16-26-161-2-0,29-42-285-2-2
Sacked-Yards,4-34,2-15
Net Pass Yards,127,270
Total Yards,281,444
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,7-85,8-107
Third Down Conv.,4-13,5-13
Fourth Down Conv.,1-1,1-1
Time of Possession,33:39,41:06
