Quarter,Time,Tm,Detail,ATL,TAM
1,3:27,Falcons,Justin Griffith 4 yard pass from Michael Vick (Todd Peterson kick),7,0
,0:20,Buccaneers,Jameel Cook 9 yard pass from Chris Simms (Matt Bryant kick),7,7
2,12:50,Buccaneers,Mike Alstott 13 yard pass from Chris Simms (Matt Bryant kick),7,14
,3:19,Falcons,Michael Jenkins 8 yard pass from Michael Vick (Todd Peterson kick),14,14
,0:09,Falcons,Todd Peterson 31 yard field goal,17,14
4,9:01,Buccaneers,Matt Bryant 50 yard field goal,17,17
,4:18,Falcons,T.J. Duckett 2 yard rush (Todd Peterson kick),24,17
,0:25,Buccaneers,Cadillac Williams 6 yard rush (Matt Bryant kick),24,24
OT,0:15,Buccaneers,Matt Bryant 41 yard field goal,24,27
