Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Brett Maher kicks off 67 yards, returned by Tommylee Lewis for 23 yards (tackle by Chase Hansen and Paulson Adebo)",,
1,14:55,1,10,MIA 21,0,0,Tua Tagovailoa pass complete short right to Mike Gesicki for 4 yards (tackle by Pete Werner),,
1,14:20,2,6,MIA 25,0,0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 4 yards (tackle by C.J. Gardner-Johnson),,
1,13:38,3,2,MIA 29,0,0,"Tua Tagovailoa pass complete short right to Jaylen Waddle for 5 yards (tackle by Marshon Lattimore). Penalty on Marshon Lattimore: Unnecessary Roughness / Defense, 15 yards (accepted)",,
1,13:25,1,10,MIA 49,0,0,Duke Johnson left tackle for 2 yards (tackle by Sharif Finch and Albert Huggins),,
1,12:49,2,8,NOR 49,0,0,Duke Johnson left guard for 2 yards (tackle by Sharif Finch and Pete Werner),,
1,11:52,3,6,NOR 47,0,0,Tua Tagovailoa pass incomplete short left intended for Myles Gaskin,,
1,11:48,4,6,NOR 47,0,0,"Michael Palardy punts 41 yards, returned by Easop Winston for 10 yards (tackle by Andrew Van Ginkel)",,
1,11:38,1,10,NOR 16,0,0,Alvin Kamara left guard for 3 yards (tackle by Christian Wilkins and Brandon Jones),,
1,11:06,2,7,NOR 19,0,0,Ian Book pass complete short left to Ethan Wolf for 4 yards (tackle by Jerome Baker),,
1,10:33,3,3,NOR 23,6,0,"Ian Book pass short right (defended by Andrew Van Ginkel) intended for Lil'Jordan Humphrey is intercepted by Nik Needham at NO-28 and returned for 28 yards, touchdown",,
1,10:25,,,NOR 15,7,0,Jason Sanders kicks extra point good,,
1,10:25,,,MIA 35,7,0,"Jason Sanders kicks off 65 yards, touchback.",,
1,10:25,1,10,NOR 25,7,0,Ian Book pass incomplete short right intended for Nick Vannett,,
1,10:20,2,10,NOR 25,7,0,Mark Ingram right guard for 4 yards (tackle by Zach Sieler and Christian Wilkins),,
1,9:43,3,6,NOR 29,7,0,Ian Book sacked by and Christian Wilkins for -10 yards and Emmanuel Ogbah for -10 yards,,
1,9:06,4,16,NOR 19,7,0,"Blake Gillikin punts 49 yards, returned by Tommylee Lewis for -1 yards (tackle by Kawaan Baker)",,
1,8:51,1,10,MIA 31,7,0,Duke Johnson right guard for 1 yard (tackle by Marcus Davenport and Shy Tuttle),,
1,8:14,2,9,MIA 32,7,0,"Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle. Penalty on C.J. Gardner-Johnson: Defensive Pass Interference, 5 yards (accepted) (no play)",,
1,8:09,1,10,MIA 37,7,0,Duke Johnson left tackle for 4 yards (tackle by Zack Baun),,
1,7:36,2,6,MIA 41,7,0,Tua Tagovailoa pass complete short right to Jaylen Waddle for -1 yards (tackle by C.J. Gardner-Johnson),,
1,6:55,3,7,MIA 40,7,0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 18 yards (tackle by C.J. Gardner-Johnson),,
1,6:11,1,10,NOR 42,7,0,Tua Tagovailoa pass complete short left to Durham Smythe for 7 yards (tackle by Zack Baun),,
1,5:36,2,3,NOR 35,7,0,Phillip Lindsay up the middle for 2 yards (tackle by Cameron Jordan and Shy Tuttle),,
1,5:00,3,1,NOR 33,7,0,"Phillip Lindsay left guard for no gain. Phillip Lindsay fumbles (forced by Pete Werner), recovered by Sharif Finch at NO-33 (tackle by Tua Tagovailoa) Replay Assistant challenged the fumble ruling, and the original play was overturned. Phillip Lindsay left guard for 2 yards (tackle by Pete Werner and Marshon Lattimore)",,
1,4:35,,,,,,Timeout #1 by Miami Dolphins,,
1,4:35,1,10,NOR 31,7,0,Tua Tagovailoa pass complete short left to Durham Smythe for 11 yards (tackle by Marcus Williams),,
1,3:55,1,10,NOR 20,7,0,Tua Tagovailoa pass incomplete short right intended for Tommylee Lewis,,
1,3:51,2,10,NOR 20,7,0,Tua Tagovailoa pass complete short middle to Mike Gesicki for 6 yards (tackle by Paulson Adebo and C.J. Gardner-Johnson),,
1,3:09,3,4,NOR 14,7,0,"Tua Tagovailoa sacked by Marcus Davenport for -16 yards. Tua Tagovailoa fumbles (forced by Marcus Davenport), recovered by Liam Eichenberg at NO-30 (tackle by Marcus Davenport)",,
1,2:16,4,20,NOR 30,10,0,Jason Sanders 48 yard field goal good,,
1,2:09,,,MIA 35,10,0,"Jason Sanders kicks off 65 yards, touchback.",,
1,2:09,1,10,NOR 25,10,0,Alvin Kamara left guard for 3 yards (tackle by Christian Wilkins and Brandon Jones),,
1,1:31,2,7,NOR 28,10,0,Alvin Kamara left guard for 1 yard (tackle by Elandon Roberts),,
1,1:08,3,6,NOR 29,10,0,Ian Book sacked by Jerome Baker for -7 yards,,
1,0:25,4,13,NOR 22,10,0,"Blake Gillikin punts 42 yards, returned by Tommylee Lewis for no gain (tackle by Zack Baun). Penalty on Noah Igbinoghene: Illegal Use of Hands / Offense, 10 yards (accepted)",,
1,0:11,1,10,MIA 26,10,0,Phillip Lindsay left guard for 4 yards (tackle by Pete Werner),,
Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,MIA 30,10,0,Tua Tagovailoa pass complete short middle to Tommylee Lewis for 7 yards (tackle by Pete Werner),,
2,14:23,1,10,MIA 37,10,0,Phillip Lindsay right guard for 3 yards (tackle by Cameron Jordan),,
2,13:47,2,7,MIA 40,10,0,Tua Tagovailoa pass complete short left to Myles Gaskin for 6 yards (tackle by Zack Baun),,
2,13:04,3,1,MIA 46,10,0,Jacoby Brissett sacked by Cameron Jordan for no gain,,
2,12:20,4,1,MIA 46,10,0,"Michael Palardy punts 37 yards, fair catch by Easop Winston at NO-17",,
2,12:14,1,10,NOR 17,10,0,Ian Book pass complete short left to Marquez Callaway for 17 yards (tackle by Xavien Howard),,
2,11:36,1,10,NOR 34,10,0,Ian Book pass complete short right to Lil'Jordan Humphrey for 8 yards (tackle by Xavien Howard and Brandon Jones),,
2,11:06,2,2,NOR 42,10,0,Alvin Kamara left tackle for -1 yards (tackle by Andrew Van Ginkel),,
2,10:29,3,3,NOR 41,10,0,"Penalty on Alvin Kamara: Unnecessary Roughness / Offense, 15 yards (accepted) Ian Book sacked by Xavien Howard for no gain",,
2,10:12,4,18,NOR 26,10,0,"Blake Gillikin punts 46 yards, fair catch by Jevon Holland at MIA-28",,
2,9:51,1,10,MIA 28,10,0,Phillip Lindsay left tackle for 4 yards (tackle by Sharif Finch and Shy Tuttle),,
2,9:15,2,6,MIA 32,10,0,Myles Gaskin right guard for 4 yards (tackle by Zack Baun),,
2,8:33,3,2,MIA 36,10,0,"Tua Tagovailoa pass complete short middle to Jaylen Waddle for no gain (tackle by Zack Baun). Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted) (no play)",,
2,7:57,3,12,MIA 26,10,0,Phillip Lindsay right guard for 2 yards (tackle by Bradley Roby),,
2,7:35,4,10,MIA 28,10,0,"Michael Palardy punts 47 yards, returned by Easop Winston for no gain (tackle by Vince Biegel)",,
2,7:24,1,10,NOR 25,10,0,Ian Book pass complete short middle to Marquez Callaway for 11 yards (tackle by Nik Needham),,
2,6:44,1,10,NOR 36,10,0,Mark Ingram left tackle for 7 yards (tackle by Jevon Holland),,
2,6:11,2,3,NOR 43,10,0,Alvin Kamara left tackle for 7 yards (tackle by Zach Sieler),,
2,5:32,1,10,NOR 50,10,0,"Ian Book pass complete short left to Alvin Kamara for 12 yards (tackle by Jerome Baker). Penalty on Brandon Jones: Roughing the Passer, 15 yards (accepted)",,
2,5:08,1,10,MIA 23,10,0,Mark Ingram right guard for 4 yards (tackle by Xavien Howard and Elandon Roberts),,
2,4:27,2,6,MIA 19,10,0,Alvin Kamara right tackle for 4 yards (tackle by Brandon Jones and Zach Sieler),,
2,3:40,,,,,,Timeout #1 by New Orleans Saints,,
2,3:40,3,2,MIA 15,10,0,Alvin Kamara left guard for no gain (tackle by Christian Wilkins and Elandon Roberts),,
2,2:49,4,2,MIA 15,10,0,"Penalty on NOR: Delay of Game, 5 yards (accepted) (no play)",,
2,2:49,4,7,MIA 20,10,3,Brett Maher 38 yard field goal good,,
2,2:45,,,NOR 35,10,3,"Brett Maher kicks off 65 yards, touchback.",,
2,2:45,1,10,MIA 25,10,3,Duke Johnson left guard for 9 yards (tackle by Pete Werner),,
2,2:00,2,1,MIA 34,10,3,"Duke Johnson right guard for no gain (tackle by Cameron Jordan). Penalty on Austin Jackson: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:55,2,11,MIA 24,10,3,Tua Tagovailoa pass complete short right to Jaylen Waddle for 10 yards (tackle by Marcus Williams and C.J. Gardner-Johnson),,
2,1:12,,,,,,Timeout #2 by Miami Dolphins,,
2,1:12,3,1,MIA 34,10,3,Tua Tagovailoa pass complete short right to Jaylen Waddle for 9 yards (tackle by Zack Baun),,
2,1:07,1,10,MIA 43,10,3,Tua Tagovailoa pass complete short left to Jaylen Waddle for 17 yards (tackle by C.J. Gardner-Johnson),,
2,1:02,1,10,NOR 40,10,3,"Penalty on Marcus Davenport: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,1:02,1,5,NOR 35,10,3,"Tua Tagovailoa pass incomplete deep right intended for DeVante Parker (defended by Paulson Adebo). Penalty on Michael Deiter: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:58,1,15,NOR 45,10,3,"Tua Tagovailoa pass complete short middle to Durham Smythe for 13 yards (tackle by Ken Crawley) Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:35,2,2,NOR 32,10,3,Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle,,
2,0:27,3,2,NOR 32,10,3,Tua Tagovailoa sacked by Cameron Jordan for -9 yards,,
2,0:04,,,,,,Timeout #3 by Miami Dolphins,,
2,0:04,,,,,,Timeout #2 by New Orleans Saints,,
2,0:04,4,11,NOR 41,10,3,Jason Sanders 59 yard field goal no good,,
Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,10,3,"Jason Sanders kicks off 65 yards, touchback.",,
3,15:00,1,10,NOR 25,10,3,Ian Book pass complete short right to Ethan Wolf for 4 yards (tackle by Jerome Baker),,
3,14:25,2,6,NOR 29,10,3,Alvin Kamara left guard for 2 yards (tackle by Elandon Roberts),,
3,13:49,3,4,NOR 31,10,3,Ian Book pass incomplete short left intended for Alvin Kamara (defended by Andrew Van Ginkel),,
3,13:43,4,4,NOR 31,10,3,"Blake Gillikin punts 45 yards, fair catch by Jevon Holland at MIA-24",,
3,13:37,1,10,MIA 24,10,3,Phillip Lindsay right guard for 4 yards (tackle by Shy Tuttle),,
3,13:00,2,6,MIA 28,10,3,Phillip Lindsay right end for -3 yards (tackle by P.J. Williams and Zack Baun),,
3,12:26,3,9,MIA 25,10,3,Tua Tagovailoa pass intended for Mack Hollins is intercepted by Marshon Lattimore at NO-36 and returned for no gain (tackle by Mack Hollins),,
3,12:16,1,10,NOR 36,10,3,"Ian Book sacked by and Emmanuel Ogbah for -1 yards and Raekwon Davis for -1 yards. Penalty on Will Clapp: Illegal Formation, 5 yards (declined)",,
3,12:00,2,11,NOR 35,10,3,Ian Book pass complete short left to Marquez Callaway for 14 yards (tackle by Jevon Holland),,
3,11:18,1,10,NOR 49,10,3,Mark Ingram right tackle for 2 yards (tackle by Byron Jones and Christian Wilkins),,
3,10:37,2,8,MIA 49,10,3,Ian Book pass incomplete short left,,
3,10:28,,,,,,Timeout #1 by New Orleans Saints,,
3,10:28,3,8,MIA 49,10,3,Ian Book sacked by Brandon Jones for -3 yards,,
3,9:50,4,11,NOR 48,10,3,"Blake Gillikin punts 38 yards, fair catch by Jevon Holland at MIA-14",,
3,9:40,1,10,MIA 14,10,3,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle (defended by Bradley Roby),,
3,9:36,2,10,MIA 14,10,3,Myles Gaskin left end for 1 yard (tackle by Marcus Davenport),,
3,8:56,3,9,MIA 15,10,3,"Tua Tagovailoa pass complete deep right to Mack Hollins for 40 yards (tackle by Paulson Adebo) NOR challenged the pass completion ruling, and the play was upheld.",,
3,8:22,1,10,NOR 45,10,3,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 24 yards (tackle by Marshon Lattimore),,
3,7:55,1,10,NOR 21,10,3,Duke Johnson left guard for 10 yards (tackle by Marcus Davenport and Marcus Williams),,
3,7:11,1,10,NOR 11,10,3,Phillip Lindsay left guard for 6 yards (tackle by Pete Werner),,
3,6:40,2,4,NOR 5,10,3,Phillip Lindsay left guard for 2 yards (tackle by Pete Werner and Cameron Jordan),,
3,6:07,3,2,NOR 3,10,3,"Tua Tagovailoa pass incomplete short left intended for Mike Gesicki (defended by C.J. Gardner-Johnson). Penalty on C.J. Gardner-Johnson: Defensive Holding, 5 yards (declined) . Penalty on David Onyemata: Roughing the Passer, 2 yards (accepted) (no play)",,
3,5:56,1,1,NOR 1,10,3,Duke Johnson right guard for no gain (tackle by Cameron Jordan),,
3,5:15,2,1,NOR 1,16,3,"Tua Tagovailoa pass complete short middle to Jaylen Waddle for 1 yard, touchdown",,
3,5:10,,,NOR 15,17,3,Jason Sanders kicks extra point good,,
3,5:10,,,MIA 35,17,3,"Jason Sanders kicks off 65 yards, touchback.",,
3,5:10,1,10,NOR 25,17,3,Alvin Kamara right end for 10 yards (tackle by Xavien Howard),,
3,4:42,1,10,NOR 35,17,3,Alvin Kamara right guard for 3 yards (tackle by Raekwon Davis and Elandon Roberts),,
3,4:05,2,7,NOR 38,17,3,"Ian Book pass complete short left to Alvin Kamara for -5 yards (tackle by Jerome Baker). Penalty on Caleb Benenoch: Offensive Holding, 10 yards (declined)",,
3,3:33,3,12,NOR 33,17,3,Ian Book pass complete short right to Lil'Jordan Humphrey for 6 yards (tackle by Eric Rowe),,
3,2:53,4,6,NOR 39,17,3,"Blake Gillikin punts 42 yards, fair catch by Jevon Holland at MIA-19",,
3,2:48,1,10,MIA 19,17,3,Phillip Lindsay left guard for 4 yards (tackle by Braxton Hoyett),,
3,2:08,2,6,MIA 23,17,3,Phillip Lindsay right guard for 4 yards (tackle by P.J. Williams),,
3,1:27,3,2,MIA 27,17,3,Tua Tagovailoa scrambles left end for 1 yard (tackle by P.J. Williams),,
3,0:41,4,1,MIA 28,17,3,Michael Palardy punts 43 yards downed by Mack Hollins,,
3,0:28,1,10,NOR 29,17,3,Ian Book pass complete short right to Kenny Stills for 4 yards,,
3,0:05,2,6,NOR 33,17,3,Alvin Kamara right tackle for 1 yard (tackle by Elandon Roberts),,
Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,NOR 34,17,3,Ian Book pass complete short middle to Marquez Callaway for 4 yards (tackle by Nik Needham),,
