Quarter,Time,Tm,Detail,MIA,NOR
1.0,10:25,Dolphins,Nik Needham 28 yard interception return (Jason Sanders kick),7,0
,2:09,Dolphins,Jason Sanders 48 yard field goal,10,0
2.0,2:45,Saints,Brett Maher 38 yard field goal,10,3
3.0,5:10,Dolphins,Jaylen Waddle 1 yard pass from Tua Tagovailoa (Jason Sanders kick),17,3
4.0,12:05,Dolphins,Jason Sanders 34 yard field goal,20,3
