Unnamed: 0,IND,TEN
First Downs,19,25
Rush-Yds-TDs,23-55-0,42-177-2
Cmp-Att-Yd-TD-INT,26-42-312-2-0,16-33-224-1-0
Sacked-Yards,3-12,6-20
Net Pass Yards,300,204
Total Yards,355,381
Fumbles-Lost,3-2,4-2
Turnovers,2,2
Penalties-Yards,4-29,9-74
Third Down Conv.,3-14,6-17
Fourth Down Conv.,1-1,0-1
Time of Possession,29:03,38:26
