Quarter,Time,Tm,Detail,WAS,DET
2.0,11:58,Lions,Calvin Johnson 13 yard pass from Matthew Stafford (Jason Hanson kick),0,7
,10:39,Redskins,Ryan Torain 6 yard pass from Donovan McNabb (Graham Gano kick),7,7
,1:04,Redskins,Graham Gano 38 yard field goal,10,7
,0:00,Redskins,Graham Gano 46 yard field goal,13,7
3.0,7:10,Lions,Brandon Pettigrew 2 yard pass from Matthew Stafford (Jason Hanson kick),13,14
4.0,11:15,Redskins,Keiland Williams 5 yard rush (pass failed),19,14
,8:21,Lions,Calvin Johnson 7 yard pass from Matthew Stafford (pass failed),19,20
,8:05,Redskins,Brandon Banks 96 yard kickoff return (pass failed),25,20
,3:12,Lions,Calvin Johnson 10 yard pass from Matthew Stafford (Bryant Johnson pass from Matthew Stafford),25,28
,1:50,Lions,Jason Hanson 32 yard field goal,25,31
,1:36,Lions,Ndamukong Suh 17 yard defensive fumble return (run failed),25,37
