Unnamed: 0,WAS,DET
First Downs,13,19
Rush-Yds-TDs,19-80-1,25-102-0
Cmp-Att-Yd-TD-INT,21-37-254-1-1,26-45-212-4-1
Sacked-Yards,7-59,1-10
Net Pass Yards,195,202
Total Yards,275,304
Fumbles-Lost,3-1,1-1
Turnovers,2,2
Penalties-Yards,10-77,7-65
Third Down Conv.,2-14,4-17
Fourth Down Conv.,1-2,1-1
Time of Possession,27:50,32:10
