Quarter,Time,Tm,Detail,HOU,TEN
1.0,8:48,Titans,Derrick Henry 48 yard rush (Randy Bullock kick),0,7
,2:34,Texans,Rex Burkhead fumble recovery in end zone (Ka'imi Fairbairn kick),7,7
2.0,6:50,Texans,Ka'imi Fairbairn 25 yard field goal,10,7
3.0,8:51,Titans,Malik Willis 14 yard rush (Randy Bullock kick),10,14
4.0,7:25,Texans,Ka'imi Fairbairn 22 yard field goal,13,14
,2:52,Texans,Brandin Cooks 6 yard pass from Davis Mills (pass failed),19,14
