Quarter,Time,Tm,Detail,JAX,HOU
1,12:15,Texans,Keshawn Martin 9 yard pass from Matt Schaub (Shayne Graham kick),0,7
,2:56,Jaguars,Marcedes Lewis 13 yard pass from Chad Henne (Josh Scobee kick),7,7
2,12:31,Jaguars,Cecil Shorts 67 yard pass from Chad Henne (Josh Scobee kick),14,7
,7:52,Texans,James Casey 1 yard pass from Matt Schaub (Shayne Graham kick),14,14
,2:53,Jaguars,Josh Scobee 43 yard field goal,17,14
,1:12,Texans,Shayne Graham 42 yard field goal,17,17
3,11:01,Jaguars,Josh Scobee 40 yard field goal,20,17
,6:52,Jaguars,Marcedes Lewis 1 yard pass from Chad Henne (Josh Scobee kick),27,17
,2:15,Texans,Shayne Graham 27 yard field goal,27,20
4,12:33,Jaguars,Justin Blackmon 81 yard pass from Chad Henne (Josh Scobee kick),34,20
,5:39,Texans,Garrett Graham 1 yard pass from Matt Schaub (Shayne Graham kick),34,27
,1:34,Texans,Garrett Graham 5 yard pass from Matt Schaub (Shayne Graham kick),34,34
OT,8:10,Texans,Shayne Graham 25 yard field goal,34,37
,4:21,Jaguars,Josh Scobee 33 yard field goal,37,37
,2:01,Texans,Andre Johnson 48 yard pass from Matt Schaub,37,43
