Unnamed: 0,SEA,DEN
First Downs,17,18
Rush-Yds-TDs,29-135-1,14-27-0
Cmp-Att-Yd-TD-INT,18-26-206-2-0,34-49-280-1-2
Sacked-Yards,0-0,1-1
Net Pass Yards,206,279
Total Yards,341,306
Fumbles-Lost,0-0,4-2
Turnovers,0,4
Penalties-Yards,10-104,5-44
Third Down Conv.,7-12,6-13
Fourth Down Conv.,0-2,0-3
Time of Possession,31:53,28:07
