Quarter,Time,Down,ToGo,Location,SEA,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,1,10,DEN 22,8,0,--,4.110,4.290
2,15:00,2,5,DEN 17,8,0,Marshawn Lynch up the middle for 6 yards (tackle by Malik Jackson and Danny Trevathan),4.290,4.840
2,14:23,1,10,DEN 11,8,0,Marshawn Lynch right end for -1 yards (tackle by Danny Trevathan),4.840,3.980
2,13:34,2,11,DEN 12,8,0,Russell Wilson pass complete short right to Doug Baldwin for 7 yards (tackle by Paris Lenon),3.980,4.440
2,12:57,3,4,DEN 5,8,0,"Russell Wilson pass incomplete short right intended for Golden Tate (defended by Tony Carter). Penalty on Tony Carter: Defensive Pass Interference, 4 yards (no play)",4.440,6.970
2,12:49,1,1,DEN 1,8,0,Marshawn Lynch left tackle for no gain (tackle by Mike Adams and Danny Trevathan),6.970,5.910
2,12:08,2,1,DEN 1,14,0,"Marshawn Lynch left guard for 1 yard, touchdown",5.910,7.000
2,12:08,,,DEN 2,15,0,Steven Hauschka kicks extra point good,0.000,0.000
2,12:08,,,SEA 35,15,0,"Steven Hauschka kicks off 66 yards, returned by Trindon Holliday for 17 yards (tackle by Kam Chancellor)",0.000,-0.140
2,11:54,1,10,DEN 16,15,0,Peyton Manning pass complete short right to Demaryius Thomas for 6 yards (tackle by K.J. Wright),-0.140,0.280
2,11:27,2,4,DEN 22,15,0,Peyton Manning pass complete short left to Demaryius Thomas for 3 yards (tackle by Byron Maxwell and Bobby Wagner),0.280,-0.200
2,10:42,3,1,DEN 25,15,0,Knowshon Moreno right tackle for 5 yards (tackle by Malcolm Smith and Richard Sherman),-0.200,0.940
2,10:13,1,10,DEN 30,15,0,Peyton Manning pass complete short left to Demaryius Thomas for 7 yards (tackle by Byron Maxwell and Earl Thomas),0.940,1.340
2,9:36,2,3,DEN 37,15,0,Knowshon Moreno left guard for 2 yards (tackle by Brandon Mebane and K.J. Wright),1.340,0.890
2,8:57,3,1,DEN 39,15,0,Peyton Manning pass complete short right to Demaryius Thomas for 1 yard (tackle by K.J. Wright),0.890,1.600
2,8:18,1,10,DEN 40,15,0,Peyton Manning pass incomplete deep middle intended for Demaryius Thomas,1.600,1.050
2,8:10,2,10,DEN 40,15,0,Peyton Manning pass complete short right to Montee Ball for 1 yard (tackle by Clinton McDonald and Michael Bennett),1.050,0.500
2,7:40,3,9,DEN 41,15,0,Peyton Manning pass complete short middle to Wes Welker for 16 yards (tackle by Walter Thurmond),0.500,2.720
2,7:04,1,10,SEA 43,15,0,Peyton Manning pass complete short right to Demaryius Thomas for 9 yards (tackle by Michael Bennett),2.720,3.390
2,6:30,2,1,SEA 34,15,0,Montee Ball up the middle for no gain (tackle by Cliff Avril and Bobby Wagner),3.390,2.680
2,5:53,3,1,SEA 34,15,0,Montee Ball left guard for 2 yards (tackle by Malcolm Smith and Clinton McDonald),2.680,3.450
2,5:04,1,10,SEA 32,15,0,"Peyton Manning pass incomplete deep right intended for Demaryius Thomas. Penalty on Zane Beadles: Tripping, 10 yards (no play)",3.450,2.790
2,4:56,1,20,SEA 42,15,0,Peyton Manning pass complete short right to Jacob Tamme for -2 yards (tackle by Brandon Mebane and Malcolm Smith),2.790,1.280
2,4:13,2,22,SEA 44,15,0,Knowshon Moreno left guard for 9 yards (tackle by Earl Thomas and Kam Chancellor),1.280,1.820
2,3:36,3,13,SEA 35,21,0,"Peyton Manning pass incomplete short right intended for Knowshon Moreno is intercepted by Malcolm Smith at SEA-31 and returned for 69 yards, touchdown",1.820,-7.000
2,3:21,,,DEN 2,22,0,Steven Hauschka kicks extra point good,0.000,0.000
2,3:21,,,SEA 35,22,0,"Steven Hauschka kicks off 64 yards, returned by Trindon Holliday for 32 yards (tackle by Chris Maragos)",0.000,1.140
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,3:16,1,10,DEN 33,22,0,Peyton Manning pass complete short middle to Julius Thomas for 5 yards (tackle by Kam Chancellor and Bobby Wagner),1.140,1.270
2,2:54,2,5,DEN 38,22,0,Peyton Manning pass incomplete short left intended for Eric Decker,1.270,0.560
2,2:49,3,5,DEN 38,22,0,Peyton Manning pass complete deep left to Demaryius Thomas for 19 yards (tackle by Byron Maxwell),0.560,2.720
2,2:49,1,10,SEA 43,22,0,Peyton Manning pass complete short middle to Wes Welker for 5 yards (tackle by Bobby Wagner),2.720,2.850
2,2:06,2,5,SEA 38,22,0,Peyton Manning pass complete short middle to Julius Thomas for 11 yards (tackle by Richard Sherman and Kam Chancellor),2.850,3.780
2,1:55,1,10,SEA 27,22,0,Peyton Manning pass incomplete deep middle intended for Julius Thomas,3.780,3.230
2,1:48,2,10,SEA 27,22,0,Peyton Manning pass complete short right to Knowshon Moreno for 6 yards (tackle by Tony McDaniel),3.230,3.340
2,1:18,3,4,SEA 21,22,0,"Penalty on Louis Vasquez: False Start, 5 yards (no play)",3.340,2.680
2,1:16,3,9,SEA 26,22,0,Peyton Manning pass complete short middle to Knowshon Moreno for 7 yards (tackle by Kam Chancellor and Bobby Wagner),2.680,2.310
2,1:06,3,9,SEA 26,22,0,Timeout #2 by Seattle Seahawks,2.680,2.310
2,1:06,4,2,SEA 19,22,0,Peyton Manning pass incomplete short left intended for Demaryius Thomas (defended by Chris Clemons),2.310,-0.150
2,1:01,1,10,SEA 19,22,0,Marshawn Lynch up the middle for 4 yards (tackle by Malik Jackson and Wesley Woodyard),0.150,0.210
2,0:42,2,6,SEA 23,22,0,Marshawn Lynch up the middle for 1 yard (tackle by Malik Jackson and Shaun Phillips),0.210,-0.420
Quarter,Time,Down,ToGo,Location,SEA,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,28,0,"Matt Prater kicks off no gain, returned by Percy Harvin for 87 yards, touchdown",0.000,7.000
3,15:00,,,DEN 2,29,0,Steven Hauschka kicks extra point good,0.000,0.000
3,15:00,,,SEA 35,29,0,"Steven Hauschka kicks off 66 yards, returned by Trindon Holliday for 24 yards (tackle by Heath Farwell)",0.000,0.480
3,14:40,1,10,DEN 23,29,0,Peyton Manning pass incomplete short right intended for Wes Welker,0.480,-0.070
3,14:36,2,10,DEN 23,29,0,Peyton Manning pass complete short left to Wes Welker for 14 yards (tackle by Bobby Wagner),-0.070,1.400
3,14:07,1,10,DEN 37,29,0,Peyton Manning pass incomplete deep right intended for Eric Decker,1.400,0.860
3,13:59,2,10,DEN 37,29,0,Peyton Manning pass complete short middle to Knowshon Moreno for 7 yards (tackle by Bobby Wagner and K.J. Wright),0.860,1.090
3,13:33,3,3,DEN 44,29,0,Peyton Manning pass complete short right to Eric Decker for 6 yards (tackle by Richard Sherman and Kam Chancellor),1.090,2.260
3,13:03,1,10,,29,0,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Bruce Irvin and Kam Chancellor),2.260,2.250
3,12:45,2,6,SEA 46,29,0,Peyton Manning pass complete short middle to Demaryius Thomas for 3 yards (tackle by K.J. Wright),2.250,1.950
3,12:09,3,3,SEA 43,29,0,"Penalty on Red Bryant: Neutral Zone Infraction, 5 yards (no play)",1.950,3.050
3,11:47,1,10,SEA 38,29,0,Peyton Manning pass incomplete deep right intended for Demaryius Thomas,3.050,2.510
3,11:38,2,10,SEA 38,29,0,Peyton Manning pass incomplete deep left intended for Wes Welker (defended by Kam Chancellor),2.510,1.820
3,11:32,3,10,SEA 38,29,0,Montee Ball up the middle for -1 yards (tackle by K.J. Wright),1.820,0.660
3,10:54,4,11,SEA 39,29,0,"Britton Colquitt punts 31 yards, fair catch by Golden Tate",0.660,0.380
3,10:38,1,10,SEA 8,29,0,Marshawn Lynch right guard for 18 yards (tackle by Mike Adams and Duke Ihenacho),-0.380,0.670
3,10:00,1,10,SEA 26,29,0,Marshawn Lynch left tackle for no gain (tackle by Danny Trevathan),0.670,0.130
3,9:24,2,10,SEA 26,29,0,"Russell Wilson for 22 yards (tackle by Dominique Rodgers-Cromartie). Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",0.130,-1.370
3,8:54,2,20,SEA 16,29,0,Robert Turbin right guard for 3 yards (tackle by Malik Jackson and Terrance Knighton),-1.370,-1.580
3,7:58,3,17,SEA 19,29,0,Russell Wilson pass complete short right to Golden Tate for no gain,-1.580,-2.140
3,7:17,4,17,SEA 19,29,0,"Jon Ryan punts 45 yards, returned by Eric Decker for 9 yards (tackle by Malcolm Smith)",-2.140,-1.930
3,7:05,1,10,DEN 45,29,0,Montee Ball right tackle for 1 yard (tackle by Clinton McDonald and Malcolm Smith),1.930,1.520
3,6:37,2,9,DEN 46,29,0,Peyton Manning pass complete short middle to Demaryius Thomas for 10 yards (tackle by Earl Thomas and Bobby Wagner),1.520,2.650
3,6:08,1,10,SEA 44,29,0,"Peyton Manning pass complete deep left to Demaryius Thomas for 23 yards (tackle by Byron Maxwell). Demaryius Thomas fumbles (forced by Byron Maxwell), recovered by Malcolm Smith at SEA-20 and returned for 7 yards (tackle by Julius Thomas). Penalty on Orlando Franklin: Unnecessary Roughness, 15 yards",2.650,-1.730
3,5:55,1,10,SEA 42,29,0,Marshawn Lynch right tackle for 3 yards (tackle by Terrance Knighton and Jeremy Mincey),1.730,1.590
3,5:20,2,7,SEA 45,29,0,Russell Wilson pass incomplete short left intended for Luke Willson,1.590,0.890
3,5:09,3,7,SEA 45,29,0,Russell Wilson pass complete short right to Luke Willson for 12 yards (tackle by Mike Adams),0.890,2.720
3,4:42,1,10,DEN 43,29,0,Marshawn Lynch up the middle for 1 yard (tackle by Nate Irving and Danny Trevathan),2.720,2.310
3,3:58,2,9,DEN 42,29,0,Russell Wilson pass complete deep right to Ricardo Lockette for 19 yards (tackle by Dominique Rodgers-Cromartie),2.310,4.040
3,3:11,1,10,DEN 23,35,0,"Russell Wilson pass complete short right to Jermaine Kearse for 23 yards, touchdown",4.040,7.000
3,3:11,,,DEN 2,36,0,Steven Hauschka kicks extra point good,0.000,0.000
3,3:11,,,SEA 35,36,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,0.280
3,2:58,1,10,DEN 20,36,0,"Peyton Manning pass complete short middle to Montee Ball for 4 yards (tackle by Kam Chancellor). Penalty on Chris Clark: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,2:43,1,20,DEN 10,36,0,Peyton Manning pass complete short middle to Wes Welker for 3 yards (tackle by K.J. Wright),-0.760,-1.280
3,2:08,2,17,DEN 13,36,0,Peyton Manning pass complete short middle to Julius Thomas for 8 yards (tackle by Kam Chancellor and Walter Thurmond),-1.280,-0.820
3,1:34,3,9,DEN 21,36,0,"Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by Byron Maxwell). Penalty on Byron Maxwell: Defensive Pass Interference, 20 yards (no play)",-0.820,1.660
3,1:28,1,10,DEN 41,36,0,Peyton Manning pass complete short left to Wes Welker for 12 yards (tackle by Bobby Wagner),1.660,2.460
3,1:02,1,10,SEA 47,36,0,Peyton Manning pass complete short middle to Jacob Tamme for 11 yards (tackle by Earl Thomas),2.460,3.180
3,0:29,1,10,SEA 36,36,0,Peyton Manning pass complete short left to Wes Welker for 22 yards (tackle by Earl Thomas),3.180,4.650
3,0:03,1,10,SEA 14,36,6,"Peyton Manning pass complete short left to Demaryius Thomas for 14 yards, touchdown",4.650,7.000
3,0:03,,,,36,8,"Two Point Attempt: Peyton Manning pass complete to Wes Welker, conversion succeeds",0.000,1.000
Quarter,Time,Down,ToGo,Location,SEA,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,DEN 35,36,8,"Matt Prater kicks onside 13 yards, recovered by Zach Miller",0.000,2.390
4,14:59,1,10,DEN 48,36,8,"Robert Turbin left end for 33 yards (tackle by Mike Adams). Penalty on Alvin Bailey: Offensive Holding, 10 yards (no play)",2.390,1.730
4,14:39,1,20,SEA 42,36,8,Russell Wilson pass complete short right to Zach Miller for 10 yards (tackle by Danny Trevathan and Duke Ihenacho),1.730,1.850
4,13:57,2,10,DEN 48,36,8,Russell Wilson pass complete short left to Golden Tate for 8 yards (tackle by Paris Lenon and Malik Jackson),1.850,2.210
4,13:33,3,2,DEN 40,36,8,Russell Wilson pass complete short right to Doug Baldwin for 6 yards (tackle by Champ Bailey),2.210,3.310
4,12:37,1,10,DEN 34,36,8,Russell Wilson pass complete deep middle to Jermaine Kearse for 24 yards (tackle by Tony Carter),3.310,4.910
4,11:55,1,10,DEN 10,42,8,"Russell Wilson pass complete short right to Doug Baldwin for 10 yards, touchdown",4.910,7.000
4,11:55,,,DEN 2,43,8,Steven Hauschka kicks extra point good,0.000,0.000
4,11:55,,,SEA 35,43,8,"Steven Hauschka kicks off 64 yards, returned by Trindon Holliday for 12 yards (tackle by Michael Robinson)",0.000,-0.320
4,11:38,1,10,DEN 13,43,8,Peyton Manning pass incomplete short right intended for Eric Decker (defended by Cliff Avril),-0.320,-0.770
4,11:34,2,10,DEN 13,43,8,Peyton Manning pass incomplete short right intended for Demaryius Thomas,-0.770,-1.420
4,11:28,3,10,DEN 13,43,8,"Peyton Manning pass incomplete short right intended for Demaryius Thomas. Penalty on Walter Thurmond: Defensive Pass Interference, 15 yards (no play)",-1.420,0.810
4,11:23,1,10,DEN 28,43,8,Peyton Manning pass complete short middle to Demaryius Thomas for 17 yards (tackle by Earl Thomas),0.810,1.930
4,11:02,1,10,DEN 45,43,8,Peyton Manning pass complete short right to Montee Ball for 1 yard (tackle by Malcolm Smith),1.930,1.520
4,10:29,2,9,DEN 46,43,8,Peyton Manning pass complete short middle to Wes Welker for 7 yards (tackle by Clinton McDonald),1.520,1.750
4,9:59,3,2,SEA 47,43,8,Peyton Manning pass incomplete short left intended for Eric Decker,1.750,0.130
4,9:55,4,2,SEA 47,43,8,Peyton Manning pass incomplete short middle intended for Montee Ball,0.130,-2.060
4,9:48,1,10,SEA 47,43,8,Robert Turbin left tackle for 6 yards (tackle by Duke Ihenacho and Mitch Unrein),2.060,2.330
4,9:07,2,4,DEN 47,43,8,Robert Turbin up the middle for 3 yards (tackle by Robert Ayers),2.330,2.020
4,8:30,3,1,DEN 44,43,8,Robert Turbin right guard for 5 yards (tackle by Danny Trevathan),2.020,2.980
4,7:49,1,10,DEN 39,43,8,"Robert Turbin right tackle for 6 yards (tackle by Robert Ayers and Malik Jackson). Penalty on Zach Miller: Offensive Holding, 10 yards (no play)",2.980,2.320
4,7:26,1,20,DEN 49,43,8,Russell Wilson left tackle for 16 yards (tackle by Mike Adams),2.320,3.250
4,6:48,2,4,DEN 33,43,8,Robert Turbin right tackle for 3 yards (tackle by Sylvester Williams and Shaun Phillips),3.250,2.940
4,6:13,3,1,DEN 30,43,8,Robert Turbin right tackle for no gain (tackle by Danny Trevathan and Shaun Phillips),2.940,1.520
4,5:27,4,1,DEN 30,43,8,Russell Wilson pass incomplete short right intended for Robert Turbin,1.520,-1.000
4,5:19,1,10,DEN 31,43,8,Montee Ball right end for 3 yards (tackle by Malcolm Smith),1.000,0.870
4,4:45,2,7,DEN 34,43,8,Montee Ball right end for -4 yards (tackle by O'Brien Schofield and Malcolm Smith),0.870,-0.360
4,4:05,3,11,DEN 30,43,8,Peyton Manning pass incomplete deep middle intended for Demaryius Thomas,-0.360,-1.370
4,3:52,4,11,DEN 30,43,8,"Peyton Manning sacked by Chris Clemons for -7 yards. Peyton Manning fumbles (forced by Chris Clemons), recovered by Clinton McDonald at DEN-29 (tackle by Chris Clark)",-1.370,-3.640
4,3:44,1,10,DEN 29,43,8,Robert Turbin up the middle for 3 yards (tackle by Terrance Knighton and Jeremy Mincey),3.640,3.510
4,3:01,2,7,DEN 26,43,8,Robert Turbin right end for no gain (tackle by Danny Trevathan and Duke Ihenacho),3.510,2.810
4,2:14,3,7,DEN 26,43,8,Tarvaris Jackson pass incomplete short right intended for Ricardo Lockette,2.810,1.740
4,2:05,4,7,DEN 26,43,8,Robert Turbin left tackle for 2 yards (tackle by Terrance Knighton and Danny Trevathan),1.740,-0.540
4,1:59,1,10,DEN 24,43,8,Peyton Manning pass complete short middle to C.J. Anderson for 14 yards (tackle by Bruce Irvin and Heath Farwell),0.540,1.470
4,1:19,1,10,DEN 38,43,8,C.J. Anderson left guard for 3 yards (tackle by Brandon Mebane and Malcolm Smith),1.470,1.330
4,0:40,2,7,DEN 41,43,8,C.J. Anderson up the middle for 6 yards (tackle by Malcolm Smith),1.330,1.420
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
