Quarter,Time,Tm,Detail,SEA,DEN
1.0,14:48,Seahawks,"Safety, Knowshon Moreno tackled in the endzone by Cliff Avril.",2,0
,10:21,Seahawks,Stephen Hauschka 31 yard field goal,5,0
,2:16,Seahawks,Stephen Hauschka 33 yard field goal,8,0
2.0,12:00,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),15,0
,3:21,Seahawks,Malcolm Smith 69 yard interception return (Stephen Hauschka kick),22,0
3.0,14:48,Seahawks,Percy Harvin 87 yard kickoff return (Stephen Hauschka kick),29,0
,2:58,Seahawks,Jermaine Kearse 23 yard pass from Russell Wilson (Stephen Hauschka kick),36,0
,0:00,Broncos,Demaryius Thomas 14 yard pass from Peyton Manning (Wes Welker pass from Peyton Manning),36,8
4.0,11:45,Seahawks,Doug Baldwin 10 yard pass from Russell Wilson (Stephen Hauschka kick),43,8
