Quarter,Time,Tm,Detail,BUF,NWE
1.0,14:48,Bills,London Fletcher 5 yard fumble return (Rian Lindell kick),7,0
,10:43,Patriots,Troy Brown 9 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
,4:20,Bills,Rian Lindell 53 yard field goal,10,7
2.0,11:40,Bills,Anthony Thomas 18 yard rush (Rian Lindell kick),17,7
3.0,2:52,Patriots,Kevin Faulk 17 yard pass from Tom Brady (Stephen Gostkowski kick),17,14
4.0,9:33,Patriots,Stephen Gostkowski 32 yard field goal,17,17
,8:33,Patriots,"Safety, J.P. Losman sacked in end zone by Ty Warren",17,19
