Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 73 yards, returned by Laurence Maroney for 24 yards (tackle by Ryan Denney)",0.000,0.340
1,14:55,1,10,NWE 21,6,0,"Tom Brady sacked by Takeo Spikes for -10 yards. Tom Brady fumbles (forced by Takeo Spikes) and returned for 5 yards, touchdown",0.340,-7.000
1,,,,NWE 2,7,0,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,7,0,"Rian Lindell kicks off 70 yards, touchback",0.000,0.280
1,14:48,1,10,NWE 20,7,0,Corey Dillon middle for 7 yards (tackle by Terrence McGee and Coy Wire),0.280,0.680
1,14:13,2,3,NWE 27,7,0,Tom Brady pass complete short middle to Corey Dillon for 16 yards (tackle by Chris Kelsay),0.680,1.800
1,13:38,1,10,NWE 43,7,0,Tom Brady pass incomplete deep right intended for Reche Caldwell (defended by Terrence McGee),1.800,1.250
1,13:31,2,10,NWE 43,7,0,Laurence Maroney middle for 27 yards (tackle by Terrence McGee),1.250,3.580
1,12:59,,,,7,0,Timeout #1 by New England Patriots,0.000,3.580
1,12:59,1,10,BUF 30,7,0,Tom Brady pass incomplete short middle intended for Ben Watson,3.580,3.030
1,12:55,2,10,BUF 30,7,0,Tom Brady pass complete short right to Ben Watson for 5 yards (tackle by Terrence McGee),3.030,3.010
1,12:17,3,5,BUF 25,7,0,Laurence Maroney right guard for 22 yards (tackle by Troy Vincent),3.010,6.510
1,11:44,1,3,BUF 3,7,0,"Penalty on NWE: Illegal Substitution, 5 yards (no play)",6.510,5.370
1,11:21,1,8,BUF 8,7,0,Corey Dillon left end for -1 yards,5.370,4.380
1,10:47,2,9,BUF 9,7,6,"Tom Brady pass complete short middle to Troy Brown for 9 yards, touchdown",4.380,7.000
1,,,,BUF 2,7,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,7,"Stephen Gostkowski kicks off 73 yards, returned by Terrence McGee for 21 yards (tackle by Willie Andrews)",0.000,0.040
1,10:36,1,10,BUF 18,7,7,Willis McGahee right end for -2 yards (tackle by Asante Samuel and Eugene Wilson),0.040,-0.800
1,9:55,2,12,BUF 16,7,7,"J.P. Losman pass complete deep right to Josh Reed for 20 yards. J.P. Losman fumbles, recovered by J.P. Losman at BUF-BUF",-0.800,1.330
1,9:32,1,10,BUF 36,7,7,"J.P. Losman for no gain. J.P. Losman fumbles, recovered by J.P. Losman at BUF-31",1.330,0.120
1,8:58,2,15,BUF 31,7,7,Willis McGahee middle for 15 yards (tackle by Eugene Wilson and Asante Samuel),0.120,1.990
1,8:23,1,10,BUF 46,7,7,Willis McGahee middle for 3 yards (tackle by Vince Wilfork and Ty Warren),1.990,1.860
1,7:45,2,7,BUF 49,7,7,J.P. Losman pass incomplete deep left intended for Roscoe Parrish,1.860,1.160
1,7:40,3,7,BUF 49,7,7,J.P. Losman pass complete short right to Josh Reed for 14 yards (tackle by Eugene Wilson and Artrell Hawkins),1.160,3.120
1,7:04,1,10,NWE 37,7,7,Willis McGahee middle for 4 yards (tackle by Tully Banta-Cain and Rodney Harrison),3.120,3.110
1,6:21,2,6,NWE 33,7,7,"Willis McGahee right end for 2 yards (tackle by Mike Vrabel and Eugene Wilson). Penalty on Kevin Everett: Offensive Holding, 10 yards (no play)",3.110,1.760
1,5:51,2,16,NWE 43,7,7,J.P. Losman pass complete short right to Peerless Price for 4 yards (tackle by Asante Samuel),1.760,1.620
1,5:07,3,12,NWE 39,7,7,J.P. Losman pass complete short right to Roscoe Parrish for 5 yards (tackle by Randall Gay),1.620,1.060
1,4:25,4,7,NWE 34,10,7,Rian Lindell 53 yard field goal good,1.060,3.000
1,,,,BUF 30,10,7,"Rian Lindell kicks off 67 yards, returned by Laurence Maroney for 19 yards (tackle by Ryan Neufeld)",0.000,0.410
1,4:14,1,10,NWE 22,10,7,Corey Dillon middle for 11 yards (tackle by Nate Clements),0.410,1.140
1,3:40,1,10,NWE 33,10,7,Corey Dillon right tackle for 4 yards (tackle by Donte Whitner and Ryan Denney),1.140,1.130
1,3:01,2,6,NWE 37,10,7,Tom Brady pass incomplete deep left intended for Troy Brown,1.130,0.430
1,2:54,3,6,NWE 37,10,7,"Tom Brady sacked by Chris Kelsay for -7 yards. Tom Brady fumbles (forced by Chris Kelsay), recovered by Dan Koppen at NWE-34",0.430,-1.110
1,2:09,4,9,NWE 34,10,7,Josh Miller punts 39 yards,-1.110,-0.740
1,1:58,1,10,BUF 27,10,7,Willis McGahee right tackle for 6 yards (tackle by Rodney Harrison and Junior Seau),0.740,1.010
1,1:14,2,4,BUF 33,10,7,J.P. Losman pass complete short right to Willis McGahee for 20 yards (tackle by Eugene Wilson),1.010,2.460
1,0:20,1,10,NWE 47,10,7,"Penalty on J.P. Losman: Delay of Game, 5 yards (no play)",2.460,2.130
Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,BUF 48,10,7,J.P. Losman pass complete short left to Anthony Thomas for 14 yards (tackle by Ellis Hobbs and Mike Vrabel),2.130,3.130
2,14:28,2,1,NWE 38,10,7,Willis McGahee right tackle for 7 yards (tackle by Junior Seau and Rodney Harrison),3.130,3.510
2,13:47,1,10,NWE 31,10,7,J.P. Losman pass complete short right to Anthony Thomas for 2 yards (tackle by Mike Vrabel),3.510,3.240
2,13:08,2,8,NWE 29,10,7,Anthony Thomas left end for 7 yards (tackle by Rodney Harrison),3.240,3.470
2,12:18,3,1,NWE 22,10,7,Anthony Thomas left guard for 4 yards (tackle by Mike Vrabel and Eugene Wilson),3.470,4.370
2,11:45,1,10,NWE 18,16,7,"Anthony Thomas left guard for 18 yards, touchdown",4.370,7.000
2,,,,NWE 2,17,7,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,17,7,"Rian Lindell kicks off 59 yards, returned by Laurence Maroney for 16 yards (tackle by Kiwaukee Thomas)",0.000,0.740
2,11:34,1,10,NWE 27,17,7,Corey Dillon right tackle for 4 yards (tackle by Terrence McGee and Keith Ellison),0.740,0.740
2,10:55,2,6,NWE 31,17,7,--,0.740,0.560
2,10:18,3,2,NWE 35,17,7,Tom Brady left guard for 3 yards (tackle by Tim Anderson and Kyle Williams),0.560,1.470
2,9:48,1,10,NWE 38,17,7,Laurence Maroney left tackle for 6 yards,1.470,1.730
2,9:14,2,4,NWE 44,17,7,Tom Brady pass incomplete short left intended for Laurence Maroney (defended by Aaron Schobel),1.730,1.020
2,9:10,3,4,NWE 44,17,7,Tom Brady pass incomplete short middle intended for Ben Watson,1.020,-0.460
2,9:06,4,4,NWE 44,17,7,"Josh Miller punts 56 yards, touchback",-0.460,-0.280
2,8:58,1,10,BUF 20,17,7,Willis McGahee right guard for 1 yard (tackle by Junior Seau and Mike Vrabel),0.280,-0.130
2,8:19,2,9,BUF 21,17,7,Willis McGahee right guard for 3 yards (tackle by Mike Vrabel and Junior Seau),-0.130,-0.430
2,7:36,3,6,BUF 24,17,7,J.P. Losman pass incomplete short middle intended for Robert Royal,-0.430,-1.770
2,7:31,4,6,BUF 24,17,7,"Brian Moorman punts 54 yards, returned by Kevin Faulk for 14 yards (tackle by Angelo Crowell)",-1.770,-1.330
2,7:21,1,10,NWE 36,17,7,Tom Brady pass incomplete short left intended for Reche Caldwell (defended by Aaron Schobel),1.330,0.790
2,7:16,2,10,NWE 36,17,7,Tom Brady pass incomplete short right intended for Laurence Maroney,0.790,0.100
2,7:11,3,10,NWE 36,17,7,Tom Brady sacked by Aaron Schobel for -8 yards,0.100,-1.500
2,6:39,4,18,NWE 28,17,7,Josh Miller punts 41 yards,-1.500,-1.000
2,6:33,1,10,BUF 31,17,7,J.P. Losman sacked by Rosevelt Colvin for -9 yards,1.000,-0.760
2,5:55,2,19,BUF 22,17,7,J.P. Losman pass incomplete short left intended for Lee Evans (defended by Rosevelt Colvin),-0.760,-1.420
2,5:52,3,19,BUF 22,17,7,J.P. Losman pass complete short left to Josh Reed for 6 yards,-1.420,-1.500
2,5:33,4,13,BUF 28,17,7,Brian Moorman punts 36 yards,-1.500,-1.330
2,5:20,1,10,NWE 36,17,7,Corey Dillon left tackle for 4 yards (tackle by Ryan Denney),1.330,1.330
2,4:41,2,6,NWE 40,17,7,Corey Dillon right guard for 1 yard (tackle by Kyle Williams),1.330,0.760
2,3:59,3,5,NWE 41,17,7,Laurence Maroney right end for -1 yards,0.760,-0.720
2,3:20,4,6,NWE 40,17,7,"Josh Miller punts 47 yards, muffed catch by Roscoe Parrish, recovered by Sam Aiken and returned for no gain",-0.720,-0.040
2,3:08,1,10,BUF 18,17,7,J.P. Losman pass complete short middle to Willis McGahee for 4 yards (tackle by Richard Seymour and Mike Vrabel),0.040,0.140
2,2:37,2,6,BUF 22,17,7,Willis McGahee right guard for 2 yards (tackle by Ty Warren and Vince Wilfork),0.140,-0.400
2,2:00,3,4,BUF 24,17,7,J.P. Losman pass complete short right to Roscoe Parrish for 15 yards (tackle by Rodney Harrison),-0.400,1.530
2,1:54,1,10,BUF 39,17,7,J.P. Losman pass incomplete short right intended for Lee Evans,1.530,0.990
2,1:50,2,10,BUF 39,17,7,Willis McGahee right guard for 3 yards (tackle by Rosevelt Colvin and Ty Warren),0.990,0.700
2,1:08,3,7,BUF 42,17,7,J.P. Losman pass incomplete short right intended for Lee Evans,0.700,-0.590
2,1:03,4,7,BUF 42,17,7,"Brian Moorman punts 44 yards, fair catch by Kevin Faulk",-0.590,0.280
