Quarter,Time,Tm,Detail,MIA,NYJ
1.0,12:38,Jets,"Safety, Teddy Bridgewater intentional grounding in end zone",0,2
,3:07,Jets,Greg Zuerlein 34 yard field goal,0,5
2.0,14:56,Jets,Michael Carter 1 yard rush (Greg Zuerlein kick),0,12
,9:55,Dolphins,Raheem Mostert 12 yard rush (Jason Sanders kick),7,12
,2:38,Jets,Zach Wilson 5 yard rush (Greg Zuerlein kick),7,19
,0:04,Dolphins,Durham Smythe 1 yard rush (Jason Sanders kick),14,19
3.0,8:40,Dolphins,Jason Sanders 46 yard field goal,17,19
4.0,9:22,Jets,Michael Carter 1 yard rush (Greg Zuerlein kick),17,26
,9:08,Jets,Breece Hall 5 yard rush (Greg Zuerlein kick),17,33
,4:24,Jets,Braxton Berrios 15 yard rush (Greg Zuerlein kick),17,40
