Quarter,Time,Tm,Detail,NYG,PHI
1.0,9:48,Eagles,Darren Sproles 25 yard rush (Caleb Sturgis kick),0,7
,8:20,Eagles,Malcolm Jenkins 34 yard interception return (Caleb Sturgis kick),0,14
,0:10,Giants,Robbie Gould 35 yard field goal,3,14
2.0,7:28,Giants,Robbie Gould 35 yard field goal,6,14
,4:59,Eagles,Nelson Agholor 40 yard pass from Carson Wentz (Caleb Sturgis kick),6,21
,0:33,Giants,Sterling Shepard 13 yard pass from Eli Manning (Robbie Gould kick),13,21
3.0,9:09,Giants,Robbie Gould 29 yard field goal,16,21
4.0,8:47,Eagles,Caleb Sturgis 41 yard field goal,16,24
,5:17,Giants,Robbie Gould 41 yard field goal,19,24
