Unnamed: 0,NYG,PHI
First Downs,24,15
Rush-Yds-TDs,25-114-0,30-118-1
Cmp-Att-Yd-TD-INT,38-63-356-1-3,14-25-168-1-1
Sacked-Yards,0-0,0-0
Net Pass Yards,356,168
Total Yards,470,286
Fumbles-Lost,2-0,0-0
Turnovers,3,1
Penalties-Yards,5-50,1-5
Third Down Conv.,10-22,4-12
Fourth Down Conv.,1-2,0-1
Time of Possession,34:04,25:56
