Quarter,Time,Tm,Detail,PHI,WAS
1.0,11:14,Eagles,Zach Ertz 5 yard pass from Carson Wentz (Jake Elliott kick),7,0
,2:13,Eagles,Jake Elliott 38 yard field goal,10,0
2.0,6:54,Eagles,Dallas Goedert 34 yard pass from Carson Wentz (Jake Elliott kick),17,0
,0:40,Washington,Logan Thomas 6 yard pass from Dwayne Haskins (Dustin Hopkins kick),17,7
3.0,9:25,Washington,Peyton Barber 1 yard rush (Dustin Hopkins kick),17,14
4.0,14:15,Washington,Dustin Hopkins 38 yard field goal,17,17
,6:13,Washington,Peyton Barber 3 yard rush (Dustin Hopkins kick),17,24
,3:25,Washington,Dustin Hopkins 40 yard field goal,17,27
