Unnamed: 0,PHI,WAS
First Downs,19,18
Rush-Yds-TDs,17-57-0,36-80-2
Cmp-Att-Yd-TD-INT,24-42-270-2-2,17-31-178-1-0
Sacked-Yards,8-62,3-19
Net Pass Yards,208,159
Total Yards,265,239
Fumbles-Lost,3-1,2-0
Turnovers,3,0
Penalties-Yards,3-20,7-55
Third Down Conv.,5-14,5-18
Fourth Down Conv.,0-2,1-2
Time of Possession,30:39,29:21
