Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Washington to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Antonio Gibson left guard for 2 yards (tackle by Jalen Mills and Vinny Curry),0.610,0.330
1,14:26,2,8,WAS 27,0,0,Antonio Gibson left tackle for -3 yards (tackle by Brandon Graham),0.330,-0.760
1,13:55,3,11,WAS 24,0,0,Dwayne Haskins pass incomplete short left intended for J.D. McKissic,-0.760,-1.770
1,13:50,4,11,WAS 24,0,0,"Tress Way punts 40 yards, muffed catch by Jalen Reagor, recovered by Jalen Reagor at PHI-38",-1.770,-1.470
1,13:41,1,10,PHI 38,0,0,Carson Wentz pass complete short middle to Dallas Goedert for 16 yards (tackle by Kevin Pierre-Louis),1.470,2.520
1,13:20,1,10,WAS 46,0,0,Carson Wentz pass complete deep middle to DeSean Jackson for 19 yards (tackle by Troy Apke),2.520,3.780
1,12:45,1,10,WAS 27,0,0,Boston Scott left end for 5 yards (tackle by Jimmy Moreland),3.780,3.910
1,12:11,2,5,WAS 22,0,0,Carson Wentz pass incomplete short middle intended for Zach Ertz,3.910,3.200
1,12:05,3,5,WAS 22,0,0,"Penalty on Chase Young: Neutral Zone Infraction, 5 yards (no play)",3.200,4.440
1,12:05,,,,,,Timeout #1 by Philadelphia Eagles,,
1,12:05,1,10,WAS 17,0,0,Carson Wentz pass complete short right to Dallas Goedert for 12 yards (tackle by Kevin Pierre-Louis),4.440,6.060
1,11:19,1,5,WAS 5,6,0,"Carson Wentz pass complete short middle to Zach Ertz for 5 yards, touchdown",6.060,7.000
1,11:14,,,WAS 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,11:14,,,PHI 35,7,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,11:14,1,10,WAS 25,7,0,Dwayne Haskins pass complete short right to Terry McLaurin for 16 yards (tackle by Rodney McLeod),0.610,1.660
1,10:38,1,10,WAS 41,7,0,Dwayne Haskins pass incomplete short right intended for J.D. McKissic,1.660,1.120
1,10:34,2,10,WAS 41,7,0,Peyton Barber right tackle for 8 yards (tackle by Avonte Maddox),1.120,1.490
1,9:55,3,2,WAS 49,7,0,Peyton Barber up the middle for no gain (tackle by Nathan Gerry and Malik Jackson),1.490,-0.130
1,9:07,4,2,WAS 49,7,0,Tress Way punts 47 yards downed by Cam Sims,-0.130,0.380
1,8:58,1,10,PHI 4,7,0,Carson Wentz pass incomplete short middle intended for Dallas Goedert,-0.380,-0.780
1,8:54,2,10,PHI 4,7,0,Corey Clement left guard for 3 yards (tackle by Daron Payne and Shaun Dion Hamilton),-0.780,-1.070
1,8:11,3,7,PHI 7,7,0,"Penalty on Montez Sweat: Neutral Zone Infraction, 5 yards (no play)",-1.070,-0.480
1,7:47,3,2,PHI 12,7,0,Carson Wentz pass complete short middle to Zach Ertz for 7 yards (tackle by Landon Collins),-0.480,0.150
1,7:09,1,10,PHI 19,7,0,"Jason Huntley left end for 1 yard (tackle by Landon Collins). Penalty on Landon Collins: Unnecessary Roughness, 15 yards",0.150,1.270
1,6:35,1,10,PHI 35,7,0,Carson Wentz sacked by Ryan Kerrigan for -10 yards,1.270,-0.630
1,5:51,2,20,PHI 25,7,0,Carson Wentz sacked by Matthew Ioannidis for -2 yards,-0.630,-1.550
1,5:05,3,22,PHI 23,7,0,Carson Wentz pass complete deep middle to Jalen Reagor for 55 yards (tackle by Ronald Darby),-1.550,4.110
1,4:19,1,10,WAS 22,7,0,Boston Scott up the middle for 7 yards (tackle by Jonathan Allen),4.110,4.650
1,3:41,2,3,WAS 15,7,0,Carson Wentz pass complete short left to John Hightower for -2 yards (tackle by Kamren Curl),4.650,3.560
1,3:00,3,5,WAS 17,7,0,Carson Wentz sacked by Chase Young for -3 yards. Carson Wentz fumbles (forced by Chase Young),3.560,2.120
1,2:17,4,8,WAS 20,10,0,Jake Elliott 38 yard field goal good,2.120,3.000
1,2:13,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,2:13,1,10,WAS 25,10,0,Dwayne Haskins pass incomplete short right,0.610,0.060
1,2:08,2,10,WAS 25,10,0,Dwayne Haskins pass incomplete deep right intended for Dontrelle Inman,0.060,-0.620
1,2:03,3,10,WAS 25,10,0,Dwayne Haskins pass incomplete short left intended for J.D. McKissic (defended by Rodney McLeod),-0.620,-1.700
1,2:00,4,10,WAS 25,10,0,"Tress Way punts 51 yards, fair catch by Jalen Reagor at PHI-24",-1.700,-0.540
1,1:52,1,10,PHI 24,10,0,Carson Wentz pass complete short left to Greg Ward for no gain (tackle by Jimmy Moreland),0.540,0.000
1,1:15,2,10,PHI 24,10,0,Boston Scott right tackle for 2 yards (tackle by Troy Apke and Jonathan Allen),0.000,-0.430
1,0:34,3,8,PHI 26,10,0,Carson Wentz pass complete short left to Greg Ward for 11 yards (tackle by Jimmy Moreland),-0.430,1.400
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 37,10,0,Corey Clement left guard for 2 yards (tackle by Chase Young),1.400,1.130
2,14:36,2,8,PHI 39,10,0,Carson Wentz sacked by Montez Sweat for -12 yards,1.130,-1.150
2,13:49,3,20,PHI 27,10,0,Carson Wentz pass complete short left to Boston Scott for 7 yards (tackle by Fabian Moreau and Chase Young),-1.150,-1.110
2,13:30,4,13,PHI 34,10,0,"Cameron Johnston punts 53 yards, returned by Steven Sims for 2 yards (tackle by Rudy Ford)",-1.110,0.220
2,13:18,1,10,WAS 15,10,0,Dwayne Haskins pass complete short right to Antonio Gibson for 2 yards (tackle by Nickell Robey-Coleman),-0.220,-0.440
2,12:56,2,8,WAS 17,10,0,Antonio Gibson right tackle for 2 yards (tackle by Vinny Curry),-0.440,-0.880
