Quarter,Time,Tm,Detail,MIA,NYJ
1.0,6:38,Jets,Curtis Martin 6 yard rush (John Hall kick),0,7
2.0,11:31,Dolphins,Olindo Mare 28 yard field goal,3,7
,0:00,Jets,John Hall 30 yard field goal,3,10
3.0,5:29,Dolphins,Rob Konrad 4 yard pass from Ray Lucas (Olindo Mare kick),10,10
4.0,2:17,Jets,John Hall 27 yard field goal,10,13
