Unnamed: 0,TEN,CIN
First Downs,10,30
Rush-Yds-TDs,18-61-0,36-148-2
Cmp-Att-Yd-TD-INT,19-31-246-0-1,32-38-283-3-1
Sacked-Yards,1-2,1-5
Net Pass Yards,244,278
Total Yards,305,426
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,6-55,4-35
Third Down Conv.,2-10,14-18
Fourth Down Conv.,0-2,0-0
Time of Possession,21:30,38:30
